천간, 상징, 해설, 해설h, 동물, 특징, 특성, 질병
甲, 큰나무, 생명체가 껍질을 깨고 뿌리 내리는 형상(啐啄同時), 甲木爲雷(갑목위뢰) - 우레 陽氣之噓也 甲木屬陽 故取象于雷焉, 여우, 조년이향(早年離鄕) 호사수구(狐死首丘) 장자(長子) 호불이웅(狐不二雄), ⓵ 양목(陽木) 천간의 시작 반듯하고 큰 나무 곡직(曲直)의 직(直) 으뜸지향 미래지향적 긍정의 화신 인자(仁) 순수 단순 개척정신 교육가적 기질 구속이나 간섭을 싫어함 자립심 독립심 강 영웅심 리더십이 있어 나서기를 좋아하며 ‘분위기 맨’⓶ 도도 시건방 변덕 조급 시기심 질투심 군중심리 게으른 성향 유시무종(有始無終) 좌절감 호기(豪氣) 참견 및 간섭하려는 성향으로 타인과 구설수 우쭐됨⓸ 여우(狐호)-조년이향(早年離鄕) 호사수구(狐死首丘) 장자(長子)성향 호불이웅(狐不二雄/虎不二雄) 귀소본능(歸巢本能)⓹ 비교적 병(丙) 무(戊) 경(庚) 임(壬)의 양간(陽干)을 좋아함⓺ 우레(雷)를 놓아 나서기 잘하며 잔소리 또는 참견하기를 좋아함⓼ 갑목(甲木)이 합화 사주에서 수(水)가 많으면 편두통, ⓻ 신경성질환 간질환 안질환 근육통 풍질 두통 대머리
乙, 들풀, 새싹이 지표를 박차고 발산의 양으로 나오는 형상, 乙木爲風(을목위풍) - 바람 蓋乙爲山林活木, 삵, 주유산천(周遊山川) - 주로 단독생활 뱀의 천적 원행 잘 돌아다님, ⓵ 음목(陰木) 주변에서 쉽게 볼 수 있는 작은 나무 초목 억척스럽고 알뜰하게 살아가는 강인한 생명력 희망의 화신 환경적응력 현실감각 실리적 현실적 외관보다 내실 중시 사고의 유연성(곡曲)⓶ 상황에 따라 비굴하게 처신 자기 본위로 움직임 집중력이 약하고 우울증에 취약 돌아다녀야 심신이 편함⓸ 을기사축(乙己巳丑)의 곡각(曲脚) 및 뉴신(紐神)을 놓아 과거 집착과 회상을 잘하며 원한에 맺힌 일을 잊지 않는 특성으로 타인을 원망하거나 비방하는 일이 많음⓹ 삵(狸리) 주유산천(周遊山川) 주로 단독생활 뱀의 천적 산을 좋아함 바람 같은 인생(風)⓺ 말려야 하니 사계절 모두 화기(火氣)를 좋아함 반면 갑목(甲木)은 경금(庚金)으로 절단해 사용함⓻ 을목(乙木)은 날카로운 신금(辛金)을 싫어하나 간여지동(干與地同) 을목(乙木)은 오히려 신금(辛金)이 용처를 확정하므로 좋음⓼ 을목(乙木)은 갑목(甲木) 운에 등라계갑(藤蘿繫甲) 길운, ⓽ 편도 갑상선 담(膽) 간 수족 신경계 두통
丙, 빛, 완전히 발산의 양에 정착하여 성장하는 형상, 丙火爲日(병화위일) - 태양 日與火皆文明之象, 고양이, 능력 과시 길들이기(예의범절) 아집 고집 기회주의 이기적, ⓵ 양화(陽火) 빛 자체를 의미 폭발력 순양지기(純陽之氣) 햇빛은 생명의 에너지원 머뭇거림이 없고 직선적 활발함 적극적 주변의식 안함 어린이처럼 산만 단순 개성이 강 개방적 희생봉사정신 사리분별 분명(예禮) 분위기 띄우기 명수 뒤끝 없음 후회도 잘함 공평⓶ 다소 주책 직설적 화법으로 구설수 내심 우울 내면수심 기운이 강하면 침착성이 결여되어 폭력적 성향 예민 신약하면 언행이 불일치하고 열등감 자기중심형 깔봄⓸ 싫증을 잘 냄-색 중에서 적색(赤色)이 가장 빨리 변함⓹ 혀끝으로 돈을 만드는 설단생금(舌端生金)-구류술업(口流術業) 또는 구술업(口述業) 종사자가 많음⓺ 여명의 병화(丙火)는 가주(家主) 및 가권의 가장노릇 박력 있고 화려한 남성 좋아함 학자풍 싫어함, ⓻ 견통(肩痛) 소장 심장 눈동자 순환기 질환
丁, 열, 양기의 기운이 충만하여 생장하는 형상(뼈대성장), 丁火爲星(정화위성) - 별 在天之日薄而星回也 如星光之得時也, 족제비, 예의주시(銳意注視) 기교현란(技巧眩亂) 모피(밍크) 꼬리(黃毛) 매력적 겁보, ⓵ 음화(陰火) 따뜻하며 포근한 열기 온화 인정 규범 모성애 전향적 긍정적 배려심 독심술 맛과 멋 추구 사교적 입담(화술) 가정적 봉사 자상함 눈물 질서⓶ 신약하면 이중성격으로 실행력 저하 집중력 결여 운에 따른 정신적 갈등 및 구설수가 많음 민감 잘 따짐 이박(耳薄) 부화뇌동 까다로운 성격과 깍쟁이 같은 기질⓷ 귀신이 좋아하는 영역(약한 양陽의 음간陰干을 선호) 지폐의 그림⓸ 족제비(鼬유) 예의주시(銳意注視) 기교현란(技巧眩亂) 모피(밍크) 꼬리(黃毛) 매력적 겁보⓹ 여명은 완벽한 남성을 좋아함 정화는 피곤하게 하는 스타일⓺ 습목(濕木)을 싫어함 수기(水氣) 싫어하나 정임합목(丁壬合木)의 생을 받는 회두생(回頭生)은 좋아함⓻ 정화(丁火)는 야간출생자에 길명(吉命)의 야귀(夜貴)가 많으나 주간출생자는 귀(貴)가 떨어짐, ⓼ 심장 소장 혀 의지력 정신 감정 시력
戊, 산, 생명체가 완전한 골격을 갖추고 무성해지는 형상, 戊土爲霞(무토위하) - 노을 霞無定體 雨後霞現而睹文明也, 곰, 요지부동(搖之不動) 일관성 인정 완고 건드리면 비분강개 우둔, ⓵ 양토(陽土) 조열(燥熱)한 땅 황무지 음양의 교집합 균형과 조화 중화지기(中和之氣) 수렴(收斂)인자 믿음과 신용의 표상 고독의 상징 자기중심 우직함 포커페이스(poker face) 여유와 느릿한 행동 ‘만만디(慢慢的)’ 큰 사업가 기질⓶ 과다하면 잘 베풀고 이용당함 무관심 외고집 독선적 무뚝뚝함 신약하면 소심 변덕 감정기복 이중적 신경질 고집 속을 알 수 없음⓸ 곰(熊) 요지부동(搖之不動) 일관성 인정 우둔 고집 완고 건드리면 비분강개⓹ 지지의 충형을 싫어함 사고(四庫) 중에서 진토(辰土)를 기뻐하나 진술축미(辰戌丑未) 월생은 대체로 길명(吉命) 그러나 무토(戊土)는 신강(身强)하지 않으면 흉명(凶命)⓺ 조토불생금(燥土不生金)이면 피부병 토중우매(土重愚昧) 토색무공(土塞無功) 수다토류(水多土流) 무수무목만물불생(無水無木萬物不生) 목다토파(木多土破) 금다허토(金多虛土), ⓻ 위장 허리 겨드랑이 비장 등 근육 피부
己, 밭, 성숙함의 정지를 나타내며 극양(極陽)의 형상, 己土爲雲(기토위운) - 구름 天降時雨 山川出雲 山澤之氣也, 오리, 주유산천(周遊山川) - 주로 공동생활 팔방미인(八方美人) 유유자적(悠悠自適), ⓵ 이미(已이미이) 뱀의 입이 열린 상태(已→巳→己)를 뜻하여 말을 잘하고 두 갈래의 혀 때문에 일구이언(一口二言)하기 쉬운 형상⓶ 을기사축(乙己巳丑)의 뉴신(紐神)을 놓아 과거 집착과 회상을 잘하며 원한에 맺힌 일을 잊지 않는 특성으로 타인을 원망하거나 비방하는 일이 많음⓷ 음토(陰土) 비옥토 항구적 순환작용에 중심역할 타인의 처지를 잘 헤아림 배려와 포근함 평화주의 말하기 좋아함 동조 잘함⓸ 순진한 척해도 현실적 실속을 지향 이중적 성격 소신 불분명 이해타산적 상황에 따라 표리부동하며 유시무종(有始無終)의 표본 과다하면 고집 근시안적 밴댕이 소갈머리 융통성 결여 신약하면 실행력이 떨어짐 속내를 드러내지 않음(壬己) 착한 듯해도 사기꾼 될 수도 오리무중⓹ 오리(鴨압) 육해공 귀소본능 유유자적 물을 좋아함 주유산천(周遊山川) 주로 공동생활 팔방미인(八方美人)⓺ 신약사주는 비만체형 신강사주는 마르고 강단 있는 체형으로 약간 검은빛 얼굴⓻ 진술축미(辰戌丑未)의 충을 반김-다경다작(多耕多作), ⓼ 소화기 질병 위장 비장 복부 피부
庚, 원석, 서서히 음기가 작용하여 음양이 교체되는 형상, 庚金爲月(경금위월) - 달 庚乃酉方陽金 庚不待秋而長生 然必秋而始盛, 매, 저돌적(猪突的) 목표 지향 일격(一擊), ⓵ 종혁(從革) 이전의 자연성 때문에 성격이 직설적이고 단순함 따라서 생각이 많거나 계산적인 사람을 극도로 싫어하는 경향⓶ 양금(陽金) 지천명(知天命) 바위 및 금속덩어리 의리지상 의협심 충성심 뚝심 우직 항구성 주관대로 관조하는 성향 대인관계에 취약 순수함(변화가 많음을 의미)⓷ 부화뇌동 융통성 부족 경우에 없는 행동 강기강성(剛氣强性) 비관하기 쉽고 외톨이가 될 확률이 높은 편 과다하면 미래 지향적이지 못함 고답적 장고(長考) 약하면 추진력이 부족하여 스트레스에 취약 무모 무대포⓸ 매(鷹응) 일격에 수급을 끊음 심장과 눈을 찌름 저돌적 천간에 무(戊)와 함께 있으면 표독 목표 지향⓹ 목소리 우렁참 눈썹 짙음 똥똥한 체격 신약명은 미모가 덜함⓺ 용처가 분명한 정갑입(丁甲壬)과 무을(戊乙)을 기뻐함 그러나 경신계기(庚辛癸己)는 싫어함 병화(丙火)는 조후 이외는 무용하며 계수(癸水)는 정화(丁火)를 잠재워 금(金)이 녹슬어 무용, ⓻ 코 질환 폐 기관지 대장 배꼽 골수 뼈 척추 피부
辛, 가공석, 양기의 완전한 정지와 새로운 기운으로 변화형상, 辛金爲霜(신금위상) - 서리 是月也天氣肅殺 嚴霜以時殺草木, 꿩, 민감(지진예고) 민첩 세련미 품위 조용 자아도취 우아 순간 공격, ⓵ 말 잘할 변(辯)자에서 파생된 천간으로 특히 종혁(從革) 이후의 가공성 때문에 상대를 배려하며 말을 돌려서 요령껏 하는 재능이 특출⓶ 새로울 신(新)자에서 파생된 천간으로 생장을 결실로 새롭게 전환하는 역할의 속성 때문에 변신과 변덕은 물론 새로운 것을 추구⓷ 음금(陰金) 결단력 자존심 단호 야무지고 당찬 모습 매정해도 속내는 순수 의협심 동정심 기억력 약속 은근히 남이 알아주길 기대 목표 설정하면 전력 추구⓸ 경직 융통성 결여 비판과 견제의 달인 뒤끝 있음 집요 강기강성(剛氣强性) 실패에 대한 두려움으로 소극적 선민(選民)사고 강함 남성은 잔소리가 심하고 난폭한 성정이 되기 쉬움 복수 앙갚음 여성은 맹목적 자존심 때문에 뒤늦게 후회 자아도취에 빠지기 쉽고 만취하면 비이성적 행동⓹ 꿩(雉치) 조용 우아 순간공격 미남미녀 비수 민감(지진 예고) 민첩 세련미 품위 자아도취 순간공격⓺ 임수(壬水) 진신(眞神) 정화(丁火) 싫어함, ⓻ 폐 기관지 피부 대장 배탈 불면 비위 약함 신경성 질환
壬, 큰물, 양기를 땅속에 저장하고 생명환경을 조성하는 형상, 壬水爲秋露(임수위추로) - 가을이슬 秋露 霜露既降之露也, 제비, 자형(字形) 물찬제비 귀소성(歸巢性) 집단행동 근기(根氣) 경쟁적, ⓵ 양수(陽水) 수(水)의 기질 큰 물줄기 마무리 달관 유유자적 환경 적응력 긍정적 겸손 차분 관조 융통성 포용력 목표 분명 사고의 유연성 끊임없이 연구하고 심사숙고 확고부동 냉정하게 관찰하며 행동⓶ 속내 알 수 없음 감추려 한다는 비밀성에서 음흉하다는 평가 묵묵 음의수용 애매모호 과다하면 능력을 과신 감정조절 미숙 상대 무시 약하면 쉽게 비굴한 행동을 하며 현실과 타협⓷ 제비(燕연) 바쁨(처자식 부양) 멋쟁이 이타적 근기(根氣) 물찬제비(외모) 귀소성(歸巢性) 집단행동 경쟁적⓸ 임수(壬水)는 물길로서 수(氵)와 거(去)의 법(法)을 말함이니 순리를 지향하며 아래에 임하지만 결국 가장 높이 쓰이게 되는 법이니 임수의 처세법 또한 물과 다르지 않다.⓹ 갑목(甲木)으로 소통하고 무토(戊土)로 제복(制伏), ⓺ 이명(耳鳴) 신장 방광 자궁 혈액계 질환
癸, 청수, 새 생명이 태어날 때를 기다리며 헤아리는 형상, 癸水爲春霖(계수위춘림) - 봄비 癸水生卯月 卯爲雷門，雷一震而龍必興焉, 박쥐, 집단거주(集團居住) 공동체 의식 소속의식 대인관계 원만, ⓵ 음수(陰水) 천간(天干)의 마지막 오행 생명의 원천으로 임수 이외의 맑고 깨끗한 모든 물 아래로 흐르는 성질을 갖고 있어 겸손 이해심 배려 속이 훤히 보일 정도로 온순 깨끗 총명 순종적 민감⓶ 강하면 독선적 성정으로 인해 안하무인(壬水) 변덕 약하면 아주 음적(陰的)인 사람 주체성을 상실 홀로 겉돌고 외톨이 신세 자처 대단히 냉철함 실행력이 결여되고 남 탓을 잘함 소극적 비관적 이중성격에 대단히 실리적으로 변함⓷ 박쥐(蝠복) 사회적 동물 이집단과 동거 소속감 집단거주(集團居住) 공동체 의식 대인관계원만⓸ 임계수(壬癸水)의 수기가 갑을목(甲乙木)을 잉태 목화(木火) 통명되어야 길명, ⓹ 생리불순 혈압 신장 생식기질환 임신곤란 부종 당뇨