일간,일간명,성격,심리,직업,이성(남명),이성(여명)
甲,갑목(甲木),▷순수. 진취적. 솔직. 시작. 희망의 전령. 미래지향적. 리더십. 관대. 자부심. 자긍심. 주체성. 앞장섬. 활동적. 생동감. 자신감. 목표 지향성. 적응력. 분위기 잘 맞춤. 여리고 착함. 낙천적. 시원한 성격. 인자. 대인관계 원만. 신사. 자유주의. 소신,▷체면 중시. 비교 거부. 지배적 성향. 지위 선점. 조급. 일을 잘 벌이나 중도포기. 간섭 배제. 자만심. 독선. 이상추구. 고집. 아집. 애매. 후회. 의기소침. 단순. 유시무종. 과장. 폼생폼사,▷사업형 체질. 공급자중심 사업. 체면과 명예준수 사업,▷사분사분하고 희생봉사 하는 여성을 선호,▷끊고 맺음이 확실하고 신사적인 남성을 선호
乙,을목(乙木),▷장난기. 순수. 긍정적. 환경적응. 물질적. 현실적. 실질적. 실리추구. 현실주의자. 실속파. 알뜰형. 상황대처. 온화. 유순. 나서기 싫어함. 내면 고양. 의지력. 생활의 달인. 자기만족형. 총명. 경우 밝음. 주도면밀. 빈틈없음. 예의범절. 겸손. 배려. 세인 호평. 잘 어울림. 생명력. 생활력. 삶의 외경심. 희망. 판도라 상자. 최선. 미래 지향적. 결실 중시. 단계적 목표 추구. 정진. 정체성 확실. 분수. 경제관념,▷물욕. 물질제일주의. 구두쇠. 인색. 내성적. 예민. 신경질. 참을성 부족. 조급. 이기적. 냉정. 계산적. 타인 의심. 의타심. 히스테리성 증상. 기 눌림. 가위눌림,▷안정적 직장과 현실적이고 소규모 개인사업,▷자기중심이 강하고 믿음직한 여성을 선호,▷듬직하면서 가정적인 남성을 선호
丙,병화(丙火),▷비가식적. 솔직. 거침없음. 적극적. 직설적. 화려한 언변. 활동력. 친밀감. 화통. 뒤끝 없음. 오지랖 넓음. 대인관계 원만. 분위기 고양. 존재감 확인. 당당. 단순. 자신감. 긍정적. 추진력. 동정심. 야망 원대. 화통한 성정. 바른 말. 청소년기. 정열. 대중적 리더 타입. 미적 감각. 시원시원,▷자기본위 행동. 순간 판단. 현실적(지금에 집착). 감정기복. 무관심. 극단적 양면성. 유시무종. 신경질. 오버액션(제스처). 과장. 다변(多辯). 구설수. 강경어투. 감정표출. 희로애락에 민감. 참을성 부족. 다혈질. 부잡스럽고 산만. 불화와 마찰. 감성적. 이기적. 타인 무시. 고집. 자기주장을 관철. 열등감,▷기본적으로 사업형 체질이지만 직장생활도 무난함,▷세련되고 윤리적으로 반듯한 여성을 선호,▷솔직 담백하며 지혜로운 신사형 남성을 선호
丁,정화(丁火),▷싹싹함. 담백. 상냥. 명랑. 사교적. 세심. 배려. 순수. 깔끔. 이야기. 생동감. 끼. 밝음. 화기애애. 예의. 사리. 반듯한 행동. 조신. 치밀. 암팡지고 완벽. 다정한 어투. 똑똑함. 앞가림 잘함. 우회적 표현. 합리적 설득. 절제된 감정. 치밀. 인정받고 싶어 함. 총명. 다재다능. 수완가. 자존심. 비계산적. 기품. 모성애. 따스함. 귀여움. 밉지 않음. 친근함. 포근함. 인정. 동정심,▷튀는 행동. 깍쟁이. 무례한. 유시무종. 신경질. 예민. 민감. 신기(神氣). 무속인. 폭언. 설화. 격분. 상념. 심리적 억압. 스트레스. 난폭. 집요하고 끈질김. 간섭 배제. 자기주장 강,▷직장과 사업 어느 쪽에도 적성이 맞음,▷자신을 이해하고 묵묵히 따라주는 여성을 선호,▷융통성과 포용력이 있는 스케일이 큰 남성을 선호
戊,무토(戊土),▷보수적. 주도면밀. 성실. 듬직. 신용. 중립. 두뇌회전. 분수. 신중. 다재다능. 세상사에 관심. 조직생활. 수더분. 중후. 친밀감. 희생정신. 갈무리. 중간 역할. 자유의지. 일관성. 자기중심. 중재자. 해결사. 타인에 관대. 화해와 믿음의 상징. 융화. 포커페이스,▷고집. 잘난 척. 과신. 하대. 나서기. 간섭. 참견. 무색무취. 고지식. 무뚝뚝. 정체성 모호. 물욕. 금전관리 기복. 인색. 구두쇠. 묘한 심리. 고독. 체면. 선민주의. 독선적. 폐쇄적. 의리 강조. 무분별. 이용당함. 엉큼. 얼굴표정 천태만상. 묵묵부답. 변덕. 고집,▷직장과 사업 어느 쪽도 좋으나 명예스런 직종이 좋음,▷지혜롭고 미적 감각이 뛰어난 여성을 선호,▷현실적이며 일 중독증에 걸린 남성을 선호
己,기토(己土),▷인정. 상냥. 싹싹. 말하기. 희생. 봉사. 알뜰. 배려. 착함. 온순. 생활력. 보수적. 중립. 솔직. 안정적 삶 추구. 애틋한 모성애. 따뜻한 어투와 표현. 자기관리. 대인관계 원만. 오지랖 넓은 편. 다정(多情). 숭고한 삶. 긍정적. 상황 개선. 정진. 착실. 인내심. 생활력. 현실 지향. 부지런. 분주. 꼼꼼. 순리. 직관. 영감. 유순. 온화. 의협심. 설득. 재담꾼. 분위기 유도. 성직자 느낌. 이미지를 형상화,▷소심. 자존심. 부탁 받으면 거절 못함(이용당할 수도). 간섭. 잔소리. 공치사. 수전노. 이기심. 신경질. 변덕. 쉽게 상처. 우울증. 폐쇄적. 까칠한 성격. 이중성. 형식적. 얼굴에 표시. 감수성 예민. 고집. 반항적,▷직장형이나 서비스 중심의 사업에 적성,▷어머니처럼 마음이 넓은 여성을 선호,▷명예를 중히 여기고 리더십이 있는 남성을 선호
庚,경금(庚金),▷꾸밈없음. 순수. 담백. 의리. 원칙. 추진력. 결단력. 배짱. 기백. 당당. 목표 지향성. 저돌성. 정신력. 무모. 친구 좋아함. 보살핌. 의형제. 끈끈한 관계. 순진. 여림. 의협심. 강직. 요령 없음. ‘이익 공유제’ 발상. ‘나’보다 ‘우리’라는 개념에 익숙. 있는 그대로. 리더십. 자의식. 개선의지. 듬직. 주관. 우직. 영속성,▷혁명가. 권세욕. 고집불통. 자존심. 수직적 관계. 주장 관철. 아집. 고집. 왕따 자처. 고독. 단순. 명분 중시. 마이웨이. 바른말. 자만심. 간섭 배제. 배척. 무시. 고집. 강강(强强). 자기주장. 독선적. 충돌. 완벽 추구. 사고 경직. 억지. 히스테리성. 잘 따짐. 잘난 체. 거만. 하대,▷안정된 브랜드 또는 프랜차이즈 사업에 적성,▷현실적이고 경제관념이 분명한 여성을 선호,▷이해심이 있고 여성의 일에 협조하는 남성을 선호
辛,신금(辛金),▷치밀. 깔끔. 주관. 집념. 예민. 청징. 반듯. 영민. 천재적 재능. 원리원칙. 완벽 추구. 정직. 정의. 결단력. 동정심. 감성 풍부. 순정파. 온정. 인정. 의지력. 인내력. 예의. 절제. 참을성. 분별력. 도덕적. 윤리적. 희생봉사. 공익 중시. 도덕 선생님. 약속 실행. 기억력. 행동 지능. 신의. 철저. 분석. 언어와 사고체계의 논리성. 확실. 분명. 세련. 미남미녀. 정리정돈,▷청산유수. 사무적. 냉정. 과시욕. 수줍음. 타인의식. 직설적 언어. 냉정. 배신하면 극단적 남남. 노기. 분기탱천. 참을성 부족. 폭발력. 칼 같은 성격. 강박관념. 복수. 집요. 완벽. 깐깐. 부정적. 편견. 비판적. 잔소리. 변덕. 폭력적,▷직장형. 사업은 허접하지 않고 깔끔한 업무 적성,▷자신을 알아주고 인정해주는 통 큰 여성을 선호,▷대인관계가 좋고 이해심이 많은 남성을 선호
壬,임수(壬水),▷유순. 덕성. 잘 베풂. 아량. 이해심. 배포. 심사숙고. 융통성. 포용력. 대인관계 원만. 항구성. 관대. 사리분명. 느슨함. 서서히. 능수능란. 능동적. 입담. 재치. 직관력. 혜안. 육감. 영감. 기획업무. 응집력. 자유. 유연. 개방적. 적극적. 신중. 관찰자. 자신을 낮춤. 조직실세. 상황대처 능숙. 상상력. 순발력. 처세술의 달인. 친화력. 성취욕. 기회포착. 지혜. 생존경쟁에 유리. 아이디어 뱅크. 두뇌회전. 독심술. 예지력. 종교적. 평온. 잠재력. 생명의 정기. 창조적. 역사 발전의 근원,▷비밀. 질풍노도. 많은 생각. 멍청. 변덕. 유시무종. 집요. 은밀. 모사. 술수. 구설수. 우울증. 폐쇄적. 거드름. 이중인격자. 무시. 냉철함. 이중성. 암중모색,▷직장과 사업 어느 쪽에도 적성이 맞음,▷화기애애하고 가정적인 여성을 선호,▷여성의 일에 적극 협조하며 배려하는 남성을 선호
癸,계수(癸水),▷온화. 양순. 인정. 지혜. 안정. 성실. 순간 판단력. 아이디어. 깔끔한 일처리. 주체성. 진중. 순수. 담백. 정직. 친밀감. 조용. 사색적. 목표 지향. 침착. 단아. 조리. 자유의지. 친화력. 열린 마음. 정. 애틋함. 모성애. 지순. 생활력. 분수. 실속. 내실. 지구력. 조심. 인내력. 주도면밀. 궁리. 신중. 실패 최소. 혜안. 생명의 외경심. 긍정적. 달관. 미남미녀. 깔끔. 언행일치. 대인관계. 생동감. 부지런. 세상사에 관심. 조직생활. 희생봉사. 자긍심. 자기만족. 공익우선. 법질서. 보편적 순리. 이성적. 큰 씨앗,▷소심. 소극적. 이중인격. 변덕쟁이. 신경과민. 독선. 잔소리. 내성적. 차가움. 여림. 예민함. 고집,▷전형적인 직장형으로 연구기획 분야에 맞음,▷적극적이며 밝은 성격의 여성을 선호,▷일희일비하지 않고 안정 지향의 진중한 남성을 선호
신강,양일간(陽日干),▷나(개인). 발산. 외향. 적극. 활동. 표출. 이상,▷일(식상)을 통해 재물(재성)을 추구. 결과지향형</br>▷甲/丙/戊/庚/壬중 특히 甲/丙일간이 강함 (乙/丁/己/辛/癸 음간도 신강하면 양간성향),▷나를 중심한 사업체. 간섭을 최소화할 수 있는 사업,▷기본적으로 조선시대 여성을 선호함,▷일중독자 남성. 이해심이 많고 협조하는 남성 선호
신약,음일간(陰日干),▷우리(공동체). 수용. 내향. 소극. 치밀. 관조. 현실,▷안정(정재)과 체면(정관)을 추구. 과정지향형</br>▷乙/丁/己/辛/癸중 특히 辛/癸 일간이 강함 (甲/丙/戊/庚/壬 양간도 신약하면 음간성향),▷안정적인 직장과 확실한 수익이 보장되는 사업체,▷어머니 같은 여성. 명랑하고 분명한 여성을 선호,▷리더십과 포용력이 있고 다정한 남성을 선호