십성, 간지, 기본, 장점, 단점, 태과, 불급, 충
비견, 甲寅 乙卯 戊辰 戊戌 己未 己丑 庚申 辛酉, 본능계(本能界)의 수성심리가 발달하여 기본적으로 배타성이 강한 가운데 강왕(强旺)하면 먼저 선방하기 때문에 자의식이 지나쳐 고립에 빠질 수 있다. 물론 자력갱생의 자수성가를 기대할 수 있는 반면 육친 간의 반목으로 이어질 공산이 크다. 천간에서는 일간과 월간이 음(陰) 오행끼리 마주볼 때 영향력이 크고 지지에서는 일지와 월지가 작용력이 크다., 월간은 정신적 자부심 일지는 실제 행동력과 자존심 강 적극적 자기 정체성 확실 한마음 단순 솔직함 발군의 생존본능 책임의식 추진력 화끈하고 담백함 일관성 남들의 평가에 관심 솔선수범 경쟁심 강함 신체활동 활달 운동가 몰입, 고집 타인의 부탁에 취약 쉽게 동조 동정심 금전거래에 취약 잘 나섬 우쭐됨 활동에 비해 결과가 초라 스트레스에 취약 독신주의 속박과 간섭을 배제 독선적 불화를 자처 고독 부부반목 의심 융통성 결여 타협을 불허 따돌림 당함 이재에 집착 안하무인격 집착력 편집증 소심증, ▷독자행동 외고집 충고 배제 재물 욕심 자기중심적 경쟁적 이해타산 도박 기질 이중성격 자수성가형 교만 투기 심리 ▷군겁쟁재(群劫爭財) 사주는 자의식 강함 고립자초 육친반목 배타성 간여지동(干與地同) ▷겁재사주에 상관이 강하면 선민성 기질에 안하무인 ▷재성을 극: 조실부모 처궁 문제 손재 이성 문제 부부불화 배우자에 군림 ▷관성을 설: 정도 무시 직업 불안 자의적 원칙 무시 도덕관념 희박 ▷남명: 처에게 지독한 남편 자식인연 박복 처를 완전 무시 자식인연 없음 관성무력 ▷여명: 금전만능주의 고부 문제 남편 위축, ▷부화뇌동 의기소침 목표 상실 유시무종 소신 없음 자존심 상실 의타심 소심 결벽증 ▷비겁은 인성과 식상이 있어야 육신의 효용이 극대화, ▷형제자매 반목 친구와 동료 간에 불신감과 불화 ▷경쟁심리가 없어져 무기력하며 의기소침 ▷줏대 없이 부화뇌동을 일삼고 경박한 행동 ▷남을 의심하는 마음이 강해 스스로 불신감을 조장 ▷자신감이 결여되어 눈치를 살피며 장고(長考) ▷자존심이 없어지고 인내력이 약화되어 참을성이 없어짐
겁재, 丙午 丁巳 壬子 癸亥, 정재(正財)를 극하기 때문에 재물을 뺏는다는 뜻이 있다. 겁재의 재(財)는 재물 및 아내(妻)를 의미하므로 겁재가 지나치면 재성에 문제가 생길 수 있음이다. 특히 겁살이 강왕(强旺)하면 지나친 투기심리가 작동하여 패가망신의 전조가 되기도 하며 육친간의 쟁투도 불 보듯 뻔하다. 더욱이 겁재와 상관의 기세가 강하면 선민성(選民性)이 지나쳐 안하무인격 성격이 되기 쉽다. 음(陰) 일간에 월간의 겁재가 갑병무(甲丙戊) 양(陽) 오행일 때 영향력이 크다., 치밀하게 계산된 행동력 경쟁심의 화신 집착력 추진력 호기심 모험심 기회 포착력 선이 굵고 화끈 세상 물정에 밝음 독립심 두뇌 회전력 빠름 멋쟁이가 많음 목표의식 분명, 아집 타인을 의식하며 행동 폼생폼사 매정 의도된 연출의 달인 냉정하고 비사교적 난폭하고 독살스런 성정 사람을 믿지 않음(불신감) 폭언 및 신경질 육친관계 소원 겁왕재약(劫旺財弱)이면 도박기질 지나친 이재 추구로 구설수 동업에 취약 오만불손 이해타산 손해 인정 안 함 투쟁적 전투적 비교심리 강 이중적 사고 도박 등 스릴감 만끽 한탕주의 무모함, ▷독자행동 외고집 충고 배제 재물 욕심 자기중심적 경쟁적 이해타산 도박 기질 이중성격 자수성가형 교만 투기 심리 ▷군겁쟁재(群劫爭財) 사주는 자의식 강함 고립자초 육친반목 배타성 간여지동(干與地同) ▷겁재사주에 상관이 강하면 선민성 기질에 안하무인 ▷재성을 극: 조실부모 처궁 문제 손재 이성 문제 부부불화 배우자에 군림 ▷관성을 설: 정도 무시 직업 불안 자의적 원칙 무시 도덕관념 희박 ▷남명: 처에게 지독한 남편 자식인연 박복 처를 완전 무시 자식인연 없음 관성무력 ▷여명: 금전만능주의 고부 문제 남편 위축, ▷부화뇌동 의기소침 목표 상실 유시무종 소신 없음 자존심 상실 의타심 소심 결벽증 ▷비겁은 인성과 식상이 있어야 육신의 효용이 극대화, ▷형제자매 반목 친구와 동료 간에 불신감과 불화 ▷경쟁심리가 없어져 무기력하며 의기소침 ▷줏대 없이 부화뇌동을 일삼고 경박한 행동 ▷남을 의심하는 마음이 강해 스스로 불신감을 조장 ▷자신감이 결여되어 눈치를 살피며 장고(長考) ▷자존심이 없어지고 인내력이 약화되어 참을성이 없어짐
식신, 丙辰 丙戌 丁未 丁丑 戊申 己酉 壬寅 癸卯, 일명 ‘식복의 신’으로서 수복신(壽福神)이며 천주귀인(天廚貴人)으로 식록(食祿)에 관여한다. 음(陰) 일간이 음(陰) 식신을 생할 때가 양(陽) 일간이 양(陽) 식신 오행을 볼 때보다 영향력이 크다. 식신의 위치는 시간(時干)이 우선한다. 그러나 원국에 유기한 식신을 극하는 인성이 동반하면 탈식(奪食)으로 귀(貴)가 떨어져 굴곡진 인생이기 쉬운 반면 이미 식상 록왕(祿旺)인데 게다가 원국에 식신이 태왕하면 상관견관(傷官見官)으로 남편과는 해로난망이기 십상이다. 식신은 재성을 생하고 편관(偏官)을 극제하니 부귀(富貴)의 근원으로서 복성(福星)이다. 한편 식신은 자연적인 혜택으로서 천우신조(天佑神助)와 후원성을 갖는다., 월주의 식신은 식복(유아기의 젖) 일지는 일 또는 활동 한 길 정신 깊이 있게 파고 연구함 노력가 노하우(knowhow) 직업과 일의 상징으로 순수하고 활동적 전문성과 성실 이지적 조신한 행동 사색적 현실적 몰입 관조적 비계산적 온화 유정 객관적 긍정적 순리 추구 공치사 안 함 몰두 정신노동 추구 욕심이 없음 내성적 논리적, 주관성이 모호 게으른 성정 의타심 천하태평 편집증적 증세 관성(官星)을 극하여 절제력에 문제 이성에 집착 원칙 무시 유시무종 자식과 불화 직업 변동 많고 전전 말이 많고 자기주장 너무 강함 감상적, ▷비겁이 설되어 신체쇠약 무기력 유시무종 우유부단 잡기에 강 주색 추종 호기심 직설적 타인무시 거만 구설수 호기심 천국 ▷식신(食神)은 부귀의 근원(食生財 편관극제) 수복신(壽福神) 천주귀인(天廚貴人) 식록(食祿) ▷식신사주에 인성을 보면 탈식(奪食)으로 귀(貴)가 떨어짐특히 편인과 식신이 혼재하면 도식(倒食)하여 곤곤해짐 ▷상관(傷官)은 사직신(辭職神) 착각살(錯覺殺) 편법살(便法殺) 그러나 상관상진(傷官傷盡)은 길(吉) 상관견관(傷官見官)은 흉(凶) ▷인성을 설: 학생은 태만 성인은 의식주 불안정 학문 기피 계산적 학문과정 지난 학마학난(學魔學難) ▷관성을 극: 오만불손 잘난 체 도덕관념 희박 직업 불안 호언장담 분위기 주도 책임감 희박 직주 이동 빈번 ▷남명: 이동수 빈번 한곳에 정착 곤란 직업 변화 경솔 주색잡기 거짓말 해로 문제 남명 자식인연 박정 ▷여명: 색(色)가림 자식인연 박복 결혼생활 곤란 비가정적 연애운 빠름 이혼 혼인생활 불안정 남편인연 박복, ▷표현력 결여 비사교적 고답적 이해심 부족 자기중심적 고독 비판적 냉소적 배려 결여 자식인연 희박 무기력 소극적 소심 ▷식상은 비겁과 재성이 있어야 육신의 효용이 극대화, ▷허언과 불평불만이 많아지고 교묘한 거짓말이 심해짐 ▷자신의 의지와는 상관없이 부화뇌동을 일삼음 ▷예민하고 조급하며 신경질적인 반응과 짜증 ▷배려심이 없어지고 대단히 이기적으로 돌변 ▷진득하지 못해 부잡스럽고 사방팔방 돌아다님 ▷세상만사에 관심을 갖고 시도하나 유시무종
상관, 甲午 乙巳 庚子 辛亥, 상관은 인위적인 생존수단으로서 스스로 자립해야 할 자력갱생(自力更生)의 운명으로서 이 점이 자연적인 혜택을 부여받은 식신과 다른 점이다. 한편 상관은 일간의 기운을 뺏는 성분으로 도기(盜氣)라고 한다. 사직신(辭職神)•착각살(錯覺殺)•편법살(便法殺)이라 할 만큼 정도를 헤쳐 일관성을 유지하기 어렵게 만드는 성분이다. 물론 능수능란하고 자유분방한 기운으로 말미암아 활발하고 인정이 많은 가운데 야당성에 호전성이 강해 자신에게 반기를 드는 사람을 적대시하는 기운도 강하다. 그래서 상관이 강왕하면 선민성이 강해 우쭐되며 사람을 하대하기 십상이다. 차라리 상관이 강왕하면서 관성이 없으면 상관상진(傷官傷盡)되어 길복(吉福)하지만 관성이 있으면 상관견관(傷官見官)하여 곤곤한 삶이기 쉽다. 상관은 직업성과 노동 및 건강 운을 의미한다. 양(陽) 일간이 목화(木火)의 음(陰) 상관을 생할 때 영향력이 크다. 상관의 위치는 일지(日支)가 우선한다., 호기심 천국 관심의 아이콘 사회성 발달 적극적 동정심 감성적 인정 배려 화려한 몸짓 동적 활동적 요란 표현의 달인 순발력 두뇌회전 빠름 발명가처럼 창출 능력 진취적 미래 지향적 인정미 승부욕 정열적 모방과 창조의 달인 자유주의자 형식타파 화술, 큰소리 뻥뻥 즉흥적 과시욕 생색 주변 의식 감정기복 심함 격정적 기분파 주의력 결핍 간섭 잔소리 직업 변동 심함 호전적 하극상 반항아 기질 분위기에 편승 구설수 미사여구 과시 다변(多辯) 뻔뻔함 변덕 줏대 없음 신경질적 폭력적 절제력 결여 원칙무시, ▷비겁이 설되어 신체쇠약 무기력 유시무종 우유부단 잡기에 강 주색 추종 호기심 직설적 타인무시 거만 구설수 호기심 천국 ▷식신(食神)은 부귀의 근원(食生財 편관극제) 수복신(壽福神) 천주귀인(天廚貴人) 식록(食祿) ▷식신사주에 인성을 보면 탈식(奪食)으로 귀(貴)가 떨어짐특히 편인과 식신이 혼재하면 도식(倒食)하여 곤곤해짐 ▷상관(傷官)은 사직신(辭職神) 착각살(錯覺殺) 편법살(便法殺) 그러나 상관상진(傷官傷盡)은 길(吉) 상관견관(傷官見官)은 흉(凶) ▷인성을 설: 학생은 태만 성인은 의식주 불안정 학문 기피 계산적 학문과정 지난 학마학난(學魔學難) ▷관성을 극: 오만불손 잘난 체 도덕관념 희박 직업 불안 호언장담 분위기 주도 책임감 희박 직주 이동 빈번 ▷남명: 이동수 빈번 한곳에 정착 곤란 직업 변화 경솔 주색잡기 거짓말 해로 문제 남명 자식인연 박정 ▷여명: 색(色)가림 자식인연 박복 결혼생활 곤란 비가정적 연애운 빠름 이혼 혼인생활 불안정 남편인연 박복, ▷표현력 결여 비사교적 고답적 이해심 부족 자기중심적 고독 비판적 냉소적 배려 결여 자식인연 희박 무기력 소극적 소심 ▷식상은 비겁과 재성이 있어야 육신의 효용이 극대화, ▷허언과 불평불만이 많아지고 교묘한 거짓말이 심해짐 ▷자신의 의지와는 상관없이 부화뇌동을 일삼음 ▷예민하고 조급하며 신경질적인 반응과 짜증 ▷배려심이 없어지고 대단히 이기적으로 돌변 ▷진득하지 못해 부잡스럽고 사방팔방 돌아다님 ▷세상만사에 관심을 갖고 시도하나 유시무종
편재, 甲辰 甲戌 乙未 乙丑 丙申 丁酉 庚寅 辛卯, 편재는 자신이 취(取)하려는 성분으로 재물과 이성 등이 포함된다. 일확천금의 투기성이 있는 만큼 재물의 중요성을 간과하기 쉬운 유형이며 옮고 그름을 잘 따지는 담백한 성정에 한량기가 있는 호색한으로 볼 수 있다. 재다신약(財多身弱)은 잔소리가 많고 곤곤하여 부부관계가 원만하지 않은 반면 월지나 시지에서 편재가 충파됨이 없이 재왕(財旺)하면 부귀명이라 할 수 있고 특히 신강(身强) 운에 크게 발복하여 성재한다. 편재는 갑병무(甲丙戊) 양(陽) 일간이 양(陽) 편재를 극할 때 영향력이 크다. 편재의 위치는 일지와 시간이다. 재성은 양명지원(養命之源)이기 때문에 정편(正偏)에 관계없이 길성으로 취급한다., 능력만 있으면 편취할 수 있는 불로소득 같은 재물 이재에 애착 만능 재주꾼 순발력 민첩 기민 손이 빠름 순간적 찰나 모험심 배짱 순간 판단력 배려 희생 사물의 본질 관조 평가분석에 능함 공간인식 능력 탁월 두뇌회전 뛰어남 순간 재치의 달인 깔끔한 성격 쿨(cool) 눈치의 여왕 주도면밀 동물적 감각 상대를 최대한 배려 모임의 감초 역할 인기 짱 촉이 빠름 솔직함 담백함 앞서감, 이성 집착 지구력 약함 조급증 결과 추구 서두름 빠른 결단력 분주 조직생활 거부 무원칙적 지출성향 투기적 충고 및 조언 무시 뇌구조가 복잡 소비가 심함 천박한 행동 일중독자 재물 축적 곤란 계산적, ▷재가 많음은 처의 재성이 관성을 지나치게 생한다는 의미에서 여명은 음란기(淫亂氣)가 발달하여 일탈 기운 강함 남자친구 많음 ▷주체성 없음 의타적 변명 부회뇌동 무기력한 사람 민첩함 결과 지향 분잡 초조 내색 ▷신왕재왕(身旺財旺) 사주는 분명 부명(富命) ▷재다신약(財多身弱) 사주는 잔소리 많고 곤곤 부부관계 갈등구조 그러나 신강운에 발복함 ▷비겁을 설: 소심 무기력 목표의식 결여 주변 의식 부화뇌동 ▷인성을 극: 조실부모 향학열 결여 천박한 현실 추구 음란기(淫亂氣) 일관된 학문 곤란 부모인연 박함 ▷남명: 이재 추구 가정 도외시 아내로부터 문전박대 공처가 외톨이 카사노바 기질 ▷여명: 남편공처가 식상과 재성을 추구해 비가정적 금전만능주의자 정조관념 희박 음적 호기심, ▷무재사주 남명은 셔터맨 해야 부인에게 금전 운영 위탁해야 재적 성취 더딤 이중적 공간인식 지능 없음 비현실적 실질심리 약화 재물 운용 미숙 ▷재성은 식상과 관성이 있어야 육신의 효용이 극대화, ▷욕심이 많아 시도는 하지만 결과는 부실 ▷계수 능력이 약화되어 득실을 따지지 않고 업무 추진 ▷사업 부진으로 재물의 손실이 심해지고 지출이 많아짐 ▷고부갈등 및 부모의 가정불화로 인덕 없음 ▷남성은 이성 문제로 재물의 손상
정재, 戊子 己亥 壬午 癸巳, 소유와 처분의 귀착이 확실한 재물로서 분란의 소지가 없는 당연한 재산이다. 그러나 재다신약(財多身弱)이면 정재의 부정심리가 표출되어 구두쇠는 물론 공처가 심리가 작동하고 인성을 극하여 부모와 일찍 연이 끊어지기 쉽다. 대체로 신왕(身旺)한 가운데 재성이 강왕(强旺)하면 부귀길명이 된다. 재물 및 이성에 관련한 십성으로 정재의 위치는 일지와 시간이며 천간오합의 정합(正合)으로서 음양지합(陰陽之合)의 유정한 관계이다., 음양의 조화(合) 유정 안정적 보수적 성향 자금 운용의 명확성 현실주의자 실리 추구 객관적 정석 추구 구조적 설계 여유 차분 섬세함 알뜰 차근차근 유비무환 경제관념 철두철미 직장인 살림과 내조의 여왕 절약 절제 재활용 이재에 탁월 손재주 맛의 달인 실제 추구 계획적 수리 영역에 발군 스포츠와 예술성 발휘 낙천적 성형외과 치과 건축공학과 기계공학과 등 이과 적성, 인정미가 없음 이중성격 편협성 편재기질 인색 배임수뢰 소극적 현실 안주 답답함 계산적 게으름 구두쇠 계산적 수전노 구질구질 궁상, ▷재가 많음은 처의 재성이 관성을 지나치게 생한다는 의미에서 여명은 음란기(淫亂氣)가 발달하여 일탈 기운 강함 남자친구 많음 ▷주체성 없음 의타적 변명 부회뇌동 무기력한 사람 민첩함 결과 지향 분잡 초조 내색 ▷신왕재왕(身旺財旺) 사주는 분명 부명(富命) ▷재다신약(財多身弱) 사주는 잔소리 많고 곤곤 부부관계 갈등구조 그러나 신강운에 발복함 ▷비겁을 설: 소심 무기력 목표의식 결여 주변 의식 부화뇌동 ▷인성을 극: 조실부모 향학열 결여 천박한 현실 추구 음란기(淫亂氣) 일관된 학문 곤란 부모인연 박함 ▷남명: 이재 추구 가정 도외시 아내로부터 문전박대 공처가 외톨이 카사노바 기질 ▷여명: 남편공처가 식상과 재성을 추구해 비가정적 금전만능주의자 정조관념 희박 음적 호기심, ▷무재사주 남명은 셔터맨 해야 부인에게 금전 운영 위탁해야 재적 성취 더딤 이중적 공간인식 지능 없음 비현실적 실질심리 약화 재물 운용 미숙 ▷재성은 식상과 관성이 있어야 육신의 효용이 극대화, ▷욕심이 많아 시도는 하지만 결과는 부실 ▷계수 능력이 약화되어 득실을 따지지 않고 업무 추진 ▷사업 부진으로 재물의 손실이 심해지고 지출이 많아짐 ▷고부갈등 및 부모의 가정불화로 인덕 없음 ▷남성은 이성 문제로 재물의 손상
편관, 甲申 乙酉 戊寅 己卯 壬辰 壬戌 癸未 癸丑, 칠살(七殺•七煞)로 표시하고 사흉신으로 취급하며 대게 식신제살(食神制殺)의 구조이면 편관이라 부르고 그렇지 않으면 흉포한 의미를 담아 칠살(七殺)이라고 부른다. 원국에 편관이 작용하면 공명심과 하극상의 기운이 강하고 조급하여 부화뇌동은 물론 논리로 상대를 이기려는 독선이 강해 타인의 충고를 무시하며 게다가 변덕이 심해 일관성을 기대하기 힘든 단점이 있다. 신약명에 편관이 강왕하면 신쇠(身衰)하여 직업 이동이 심하고 여명은 간지에 관살이 혼잡하면 해로난망이며 정숙하기 곤란하다. 음(陰) 편관이 음(陰) 일간을 극할 때 작용력이 크다., 올곧은 성정 일로매진(一路邁進) 절제된 행동 엄격 자기절제의 보호본능 원칙 명예 직업 진지한 자세 정치(精緻)한 사고 정제된 언어 ‘모두 속의 나(我)’에 무게 사명감과 이타심이 강 순수 분명 확고함 솔선 정의감 인정 호의 의리 깔끔한 성격 기억력 행동력 민첩함 과감한 결단 명분 중시 반듯함 행실 방정 약속 준수 선후배 구분 확실 복잡한 것 싫어함 자존심 비계산적 성공 지향적 신사적 태도 화끈, 매정 딱딱함 얼굴에 감정표출 긴장감 공치사 실수 용납 안 함 상대의 단점 파악 냉정한 어투 편협하고 외골수적 성향 까칠한 성격 폭발력 과단성 스트레스에 취약 단순 강박관념 융통성 결여 먼저 계산 만용 인생굴곡 심함 아집 다혈질 난폭 비가정적 고독 자기중심적 민감, ▷관성이 많으면 재성의 힘이 소진되어 재물 탕진은 물론 부인이 신체쇠약 ▷표독 극단적 폭발적 욱 성격 신경질적 무기력 나태 현실 안주 전시행정 의타심 공명심 하극상 기질 논리로 상대를 제압 충고무시 여명의 간지 관살혼잡은 해로곤란 ▷신강명에 일위의 정관이 충형해파 없이 유기하면 음덕(蔭德)과 양덕(陽德) ▷식신제살(食神制殺) 구조는 편관(偏官)이라고 하며 그렇지 않으면 칠살(七殺)이라고 함 ▷식상을 설: 활동성 제약 자식 복 박정 신체쇠약 창조성 결여 소극적 매정 ▷비겁을 극: 소극적 자존 지능 저하 무기력 형제인연 박복 자존심 결여 목표의식 결여 ▷남명: 건강 이상 인간성 결여 간섭 참견 아내를 하대함 ▷여명: 무정한 결혼생활 극단적 부부관계 피해의식 히스테리 정조관념 희박 해로 문제, ▷의기소침 실행력 약화 용두사미 도덕성 결여 원칙 무시 자기중심 언행 불일치 남편은 자식 복 없음 ▷관성은 재성과 인성이 있어야 육신의 효용이 극대화, ▷원칙 없이 행동하며 깐깐한 성격에 폭력적 경향 ▷결단성이 없어지고 우유부단하여 경망스럽게 행동 ▷직장과 직업 변동이 심해져 가정이 불안정 ▷자식과 인연이 없어지며 서로 반목 여성은 이성 문제 ▷통제력을 상실하여 거만하고 무례하며 안하무인격 ▷도덕적 윤리적 일탈을 거침없이 행함
정관, 丙子 丁亥 庚午 辛巳, 합이 되는 관계로 유정하며 정관의 위치는 월간을 우선하되 시간과 일지도 참고한다. 정관의 육친은 남편과 자식으로서 이는 곧 가정을 관리하는 올곧은 기상이다. 정관이 유기하면 신사다운 기풍과 도리에 충실한 위인으로 인덕이 있는 팔자이다. 신강하고 일위의 정관이 충형해파 없이 유기하면 음덕(蔭德)과 양덕(陽德)을 골고루 누리는 팔자이기 쉽다. 특히 신사(辛巳) 및 정해(丁亥) 일주는 정관의 진수이지만 여명의 간지 관살혼잡은 해로에 문제가 따른다., 사려 깊음 이성적 보수적. 대인관계 원만 품격 체면 도덕적 윤리적 자기억제력 관리 능력 통제 진중 안정 공공의식 예절 타의 모범 의식의 구조화 절제 엄격 언행의 일치 군자 여유 부드러운 카리스마 호감 공익적 관념 모두 함께 느긋함 원칙과 소신 질서 순서 편견 없음 공정 이성적 공직자 성실 모범적, 융통성 결여 답답함 군자인 척 느끼함 게으름 거만 냉정 우유부단 공상가 망상 엉뚱함 귀가 얇음 금방 현혹 만용 폭력적 무원칙 극단적 부정적 경박한 행동 여성은 이성에 관대 타인 무시 거드름 잘난 체 느림, ▷관성이 많으면 재성의 힘이 소진되어 재물 탕진은 물론 부인이 신체쇠약 ▷표독 극단적 폭발적 욱 성격 신경질적 무기력 나태 현실 안주 전시행정 의타심 공명심 하극상 기질 논리로 상대를 제압 충고무시 여명의 간지 관살혼잡은 해로곤란 ▷신강명에 일위의 정관이 충형해파 없이 유기하면 음덕(蔭德)과 양덕(陽德) ▷식신제살(食神制殺) 구조는 편관(偏官)이라고 하며 그렇지 않으면 칠살(七殺)이라고 함 ▷식상을 설: 활동성 제약 자식 복 박정 신체쇠약 창조성 결여 소극적 매정 ▷비겁을 극: 소극적 자존 지능 저하 무기력 형제인연 박복 자존심 결여 목표의식 결여 ▷남명: 건강 이상 인간성 결여 간섭 참견 아내를 하대함 ▷여명: 무정한 결혼생활 극단적 부부관계 피해의식 히스테리 정조관념 희박 해로 문제, ▷의기소침 실행력 약화 용두사미 도덕성 결여 원칙 무시 자기중심 언행 불일치 남편은 자식 복 없음 ▷관성은 재성과 인성이 있어야 육신의 효용이 극대화, ▷원칙 없이 행동하며 깐깐한 성격에 폭력적 경향 ▷결단성이 없어지고 우유부단하여 경망스럽게 행동 ▷직장과 직업 변동이 심해져 가정이 불안정 ▷자식과 인연이 없어지며 서로 반목 여성은 이성 문제 ▷통제력을 상실하여 거만하고 무례하며 안하무인격 ▷도덕적 윤리적 일탈을 거침없이 행함
편인, 丙寅 丁卯 庚辰 庚戌 辛未 辛丑 壬申 癸酉, 식신을 극하므로 도식(倒食)이라고 하며 어머니를 미워한다 하여 효신살(梟神殺)이라고도 한다. 도식이 작용하여 소화기계통의 질환과 신경성 질환에 취약하며 올빼미의 효신이 작용하여 불면증에 시달리기 쉬운 유형이다. 한편 편관•상관•겁재와 함께 사흉신(四凶神)으로 취급하며 성격을 가늠하기 힘들만큼 다소 외골적이다. 영민하고 잔머리의 대가들이 많은 편인데 특히 편인이 강왕하면 권모술수는 물론 묘기백출에 만물박사 같은 재기를 표출한다. 편인이 태과하면 유시무종이기 쉬운 가운데 이(利)가 없으면 냉정하게 돌아서는 이중성으로 말미암아 혹평을 받기 십상이다. 원국에 편인이 강왕한데 식상이 쇠약하면 여명은 자식인연 박하고 불감증일 공산이 크다. 효왕식왕(梟旺食旺) 하면 활인업은 물론 생사여탈에 업상대체하면 길하다. 편인이 음(陰)이면서 음(陰) 일간을 도와줄 때 영향력이 크다. 편인의 위치는 월간이 우선하며 일지를 참고한다., 특이 학문에 향학열(절대 만족 안 함) 계약문서 인식지능 발달 머리가 좋음 순간 판단 영감 직감 육감 상황수습 기민 민첩함 특별함 추구 종교적 성향 특별한 취미, 혼자 고민 고독 외로움 외톨이 시큰둥한 반응 폐쇄적 재미없고 귀찮은 반응 묵묵부답 칭찬에 인색 잡기에 능 타협에 미숙 자기본위 원만성 결여 사시적(斜視的) 부정적 편향된 시각 의타심 변명 관조 몰입 편집증 원망 핑계 까칠 심드렁함 표리부동 비제도권 학문에 관심 조급함 금방 싫증 유시무종 인색 게으름 무색무취 이중적 행동 잘 따짐 비관 무력감 스트레스에 취약, ▷인성이 많으면 이복형제 의미 시큰둥 부정적 사시적 고독 불통 제멋대로 편인마음 주의력 결핍증 산만 의타심 유시무종(有始無終) 변명 ▷편인(偏印)이 강왕하면 묘기백출의 만물박사 잔머리 대가 이(利)가 없으면 돌아섬 이중성 ▷여명 사주에서 편인이 강왕하고 식상이 쇠약하면 자식인연 박복하고 성불감증 되기 쉬움 ▷효왕식왕(梟旺食旺) 사주는 활인업 또는 생사여탈직에서 성공 ▷재성을 설: 재물 복 없고 이성 문제 빈번 처와 무정 비현실적 ▷식상을 극: 소극적 인색함 구설수 무언 묵비권 느림 무기력 의기소침 게으름 의식주 불안 ▷남명: 처복 없음 고부 문제로 갈등 배우자와 인연 없음 부모덕 없음 ▷여명: 자식인연 박 고부 문제로 남편과 해로 곤란, ▷학문 도외시 주변 의식 열정적이지 못함 학난(學難) 의식주 불안 부모덕 박함 ▷인성은 관성과 비겁이 있어야 육신의 효용이 극대화, ▷학문적 수용 능력이 저하되어 학습을 등한시 ▷모친과 정이 없어지고 모성애 기대 난망 모친 건강 문제 ▷참을성이 없어 진득이 기다리지 못함 ▷괜한 고집과 오기를 부리며 호전성이 표출 ▷너무 산만하여 주의력결핍증 증세가 나옴 ▷부정심리가 팽배하고 만사를 삐딱하게 관조 무례해짐
정인, 甲子 乙亥 戊午 己巳, 정이 있는 모친을 의미하고 의식주의 안정을 비롯해 학문 및 서류와 같은 문서를 뜻한다. 정인이 유기하면 성정이 여유롭고 향학(向學)에 취미를 두는 가운데 학업 성취 용이하여 명진(名振)하기 십상이다. 하지만 정인이 태과하면 편인의 기질이 드러나 지성인의 면모를 보기 어렵고 여명은 자식인연 박정하다. 더욱이 재성과 동주하면 소년학문 불리하여 일찍 부모 속을 썩이는 자식과 인연한다. 음(陰) 오행이 양(陽) 일간을 생할 때 작용력이 크다. 정인의 위치는 월지를 우선한다., 어머니 합리적 향학열(제도권 학문) 다정다감 원만한 성격 대인관계 좋음 자애 박애 모성애 헌신 봉사 인자 따뜻함 애틋함 여유 안정적 동정심 배려 주는 마음 배움을 좋아함 독서광 개방적 온화 품격 있는 행동 명예와 체면 중시 올바른 판단력 진중한 처신 실수 안 함 직관력 두뇌 회전력 좋음, 정체성 모호 쉽게 동조 의타심 의지력 약화 업무 지연 결단력 미비 자기합리화 임기응변 타인을 의식 인내력 약함 사람을 구분하여 사귐 소인배 기질 두루뭉술 생각 많고 실행력 부족 재물 운에 취약 자기본위, ▷인성이 많으면 이복형제 의미 시큰둥 부정적 사시적 고독 불통 제멋대로 편인마음 주의력 결핍증 산만 의타심 유시무종(有始無終) 변명 ▷편인(偏印)이 강왕하면 묘기백출의 만물박사 잔머리 대가 이(利)가 없으면 돌아섬 이중성 ▷여명 사주에서 편인이 강왕하고 식상이 쇠약하면 자식인연 박복하고 성불감증 되기 쉬움 ▷효왕식왕(梟旺食旺) 사주는 활인업 또는 생사여탈직에서 성공 ▷재성을 설: 재물 복 없고 이성 문제 빈번 처와 무정 비현실적 ▷식상을 극: 소극적 인색함 구설수 무언 묵비권 느림 무기력 의기소침 게으름 의식주 불안 ▷남명: 처복 없음 고부 문제로 갈등 배우자와 인연 없음 부모덕 없음 ▷여명: 자식인연 박 고부 문제로 남편과 해로 곤란, ▷학문 도외시 주변 의식 열정적이지 못함 학난(學難) 의식주 불안 부모덕 박함 ▷인성은 관성과 비겁이 있어야 육신의 효용이 극대화, ▷학문적 수용 능력이 저하되어 학습을 등한시 ▷모친과 정이 없어지고 모성애 기대 난망 모친 건강 문제 ▷참을성이 없어 진득이 기다리지 못함 ▷괜한 고집과 오기를 부리며 호전성이 표출 ▷너무 산만하여 주의력결핍증 증세가 나옴 ▷부정심리가 팽배하고 만사를 삐딱하게 관조 무례해짐