구분,특성(명),특징,대운세운,초년운(1-20세),청년운(20-40세),중년운(40-60세),노년운(60-80세)
비견,재성을 극하여 부인과 아버지의 불화가 있거나 인연이 약하다. 지도자. 자유업. 활동적인 직업. 공동사업은 불리하고 재성이 사주에 있으면 장사로 성공한다.,경쟁의 별. 형제. 친구. 조카,대운 : 인덕이 부족하고 보증문제로 인한 금전지출이 발생할 수 있다.세운 : 지인의 도움을 받거나 동업을 하고 금전손실이 발생할 수 있다.,건강에 도움이 되고 친구관계가 원만하며 활동력이 좋고 육체 성장에 도움이 된다.,친구나 형제 그리고 친척들과의 인간관계는 좋으나 그로 인한 금전 손실이 있을 수 있다.,재물 손해가 있고 남자는 배우자와의 문제가 발생할 수 있다.,체력이 상승하고 건강이 좋아지며 장수할 수 있는 시기이다.
겁재,비견보다 재성이나 처를 극함이 심하다. 활동적인 현장이 직업에 잘 맞고 영업이나 특수기술자 또는 수단이 좋아서 독자사업이 잘 맞는데 동업은 금물이다.,투쟁의 별. 이복형제. 나쁜친구. 남편의 첩,대운 : 경쟁을 통한 금전 희생이나 낭비고 인한 금전 지출이 발생할 수 있다.세운 : 금전손실이 발생하거나 주변 사람들과 갈등이나 경쟁을 하게 된다.,투쟁심이 강하고 경쟁력이 좋으나 부친과 불화하고 금전문제가 불리하다.,주변 사람들로 인한 다툼이나 금전손실의 우려가 있다.,사고나 시비 또는 구설에 휘말릴 수 있는 시기이다.,소비 지출이 많고 낭비가 많으며 자녀에게 상속을 해주는 시기이다.
식신,식신이 많으면 다재다능하나 바쁘기만 하고 실속이 없고 안하무인인 경우가 있고 끈기있는 직업과는 거리가 멀다. 제조업. 생산업. 교육사업. 보육원. 요식업. 식당. 금융업. 서비스업. 예술계통. 식품업. 의약. 축산업 등이 잘 맞고 큰 사업을 이끌어갈 의지가 부족하여 작은 규모의 사업이나 장사가 좋다. 지지에 식상이 있으면 음식 솜씨가 좋다고 볼 수 있다.,예능.재능의 별. 남자: 장모. 부하직원. 사위. 여자: 아들. 증조부,대운 : 새로운 사업에 진출하기 좋은 시기로써 금전발전이 있을 수 있다.세운 : 새로운 사업진출 또는 투자나 이사를 하는 상황이 발생한다.,재능이 있고 금전적으로 여유가 생기며 표현력이 좋다.,재능이 많고 금전적인 발전을 기대할 수 있고 사업에 유리하다.,새 집으로 이사하거나 새 차로 바꾸는 시기이며 금전 발전이 있다.,의식주가 풍부하고 금전발전이 있으며 건강도 원만한 시기이다.
상관,말이 많고 비판적이고 나서기를 좋아하고 수단과 방법을 안 가리고 남을 이겨놓고 봐야하는 보스 기질이 있다. 법과 질서를 무시하는 경향이 있다.사람을 이끄는 두목 격으로 사업가 기질이 많다. 제조. 생산업이나 동물을 기르거나 아이들을 가르치는 업종도 좋으며 예술적 감각도 뛰어나서 조각가. 건축가. 도예가. 미술가. 작가. 음악가. 서예가 등도 좋다고 하겠다. 연출. 기획. 저술. 기자. 평론가로도 활약한다. 상관이 많으면 천재성은 있으나 엉뚱하고 정관을 극하여 결혼생활이 어려움이 있고 남의 밑에 일하기가 힘들다고 볼 수 있다.,재능의 별. 남자: 손녀. 처갓집 여자: 딸. 할머니,대운 : 남자는 직업변동이 발생하고 여자는 배우자 문제가 발생한다.세운 : 남자는 직장이동이나 사회. 여자는 배우자 문제가 발생한다.,천재성을 지니고 활동력이 좋으나 반항기가 있고 유흥에 빠지기 쉽다.,예체능 쪽으로 능력을 발휘할 수 있으나 직장생활에는 불리하다.,금전발전은 있으나 낭비가 심하고 여자는 배우자와의 문제가 발생할 수 있다,여행이나 오락 또는 유흥을 즐기며 여자는 남편 문제가 발생한다.
편재,돈을 잘 쓰며 재복은 있는데 처. 첩으로 인한 여자문제가 많이 따른다. 남의 돈으로 큰 사업을 일으키는 능력있는 사업가다. 사회성이 있고 설득력이 좋아서 교제 범위가 넓다. 상업성이 강해서 무역. 금융. 판매. 유통. 경영. 자영업으로 성공하는 사람이 많고 서비스업에 종사를 하거나 지배인 역할도 잘한다. 편재가 많으면 장돌뱅이로 떠돌면서 돈을 번다. 지갑이 비어도 손이 크다. 부모덕 박복하여 학문에 어려움이 있다.,시장. 경제 논리의 별. 남자: 아버지. 첩. 처의 형제 여자: 시어머니. 아버지,대운 : 소년기는 학업중단이 발생하고 중년기는 사업발전이 있는 시기이다.세운 : 금전발전이나 사업을 확장하고 재산이 늘어나는 시기이다.,융통성 있고 금전적으로는 풍부하지만 학업 중단이나 여자 문제가 많다.,상술에 뛰어나 금전적으로는 유리하지만 여자 문제가 발생할 수 있다.,사업 발전이 있으나 남자는 여자 문제가 발생할 수 있는 시기이다.,건강이 좋지 못하고 번거로운 일이 발생하며 수명이 단축될 수 있다.
정재,고지식한 면이 있어 잔재미가 없으나 남편과 아내로서 최고에 속하는 사람으로 여간해서는 가정을 저버리거나 등한시 하는 일이 없다. 독립적인 경영에 맞고 판매업. 사업가. 상업. 금융. 회계사. 경영자. 기업가 등이 좋고 경리나 서무와 같은 직업도 어울린다.,신용의 별. 남자: 아내. 숙부. 고모 여자: 시가집. 숙부. 고모,대운 : 금전발전이 있는 시기로 상업을 하는 사람에게는 가장 좋은시기이다.세운 : 금전발전이 있거나 남자는 결혼을 하거나 좋은 여자를 만난다.,보수적이고 구두쇠 기질이 있으나 금전적으로 풍부하고 상속을 받는다.,안정적인 직장생활이나 작은 점포를 운영하며 경제적 안정을 갖는다.,금전 소득이 안정적이고 발전할 수 있는 시기이다.,보험이나 연금소득 또는 임대소득이 생기고 금전적 발전이 있다.
편관,자만심이 강하고 자기중심적이며 감정이 격하고 과시하기를 너무 좋아한다. 보험. 증권. 무역. 건축. 토목. 청부업. 현장감독. 밀수 등이 직업으로 맞다하겠다.,투쟁과 감성의 별. 남자: 아들. 외조모 여자: 애인. 남자,대운 : 직장생활하기 좋은 시기이고 사고나 질병을 조심해야 하는 시기이다.세운 : 직장을 들어가거나 사고 또는 질병에 걸리기도 하는 시기이다.,승부욕이 강하고 지도력이 있으나 도박을 좋아하고 사고 위험이 있다.,이공계나 특수직에 종사할 수 있고 관재구설에 시달릴 수 있다.,명예 발전이나 승진 등이 있을 수 있으나 불편한 일이 생길 수도 있다.,사고나 재해 그리고 급성질환이 발생할 수 있는 시기이다.
정관,명예를 소중히 여기는 직업에 잘 맞고 공무원. 학자. 금융가. 상공인. 법률가. 교육가. 행정가. 교사 등이 잘 맞다.,군자의 별. 남: 딸. 여자: 남편,대운 : 취업이나 승진 등 직장생활의 안정과 발전이 있는 시기이다.세운 : 직장 발전이나 승진이 되고 자녀에게도 좋은 일이 생길 수 있다.,모범적이고 절제력이 있어서 바른 생활을 하며 지도자의 길을 간다.,공무원이나 좋은 직장에서 안정된 생활을 할 수 가 있는 시기이다.,명예나 금전 발전이 있고 안정적인 생활을 영위하는 데 불편함이 없다.,사회단체나 봉사단체에서 감투를 쓰거나 직책을 맡아서 일을 한다.
편인,약사. 의사. 예술가. 작가. 종교인. 언론인. 음악가. 교육사업. 출판사. 유흥업. 요리사. 기술자. 예체능 등이 잘 맞다.,,대운 : 학문적 발전이나 직장승진은 좋으나 제조. 생산업은 불리하다.세운 : 사업을 하는사람은 어려움에 처하고 직장인은 승진이나 발전이 있다.,눈치가 빠르고 특별한 재능이 있어서 자격증을 가지고 기술직에 맞다.,직장생활을 하는데 좋은 운이지만 상업을 하는 사람에게는 불리하다.,부동산이나 문서를 취득하는 시기이나 여자는 자녀로 인한 문제가 발생할 수 있는 시기이다.,건강이 좋지 못하고 생식기 질환이나 수족에 문제가 발생할 수 있다.
정인,공무원. 정계. 교육. 예술가. 학자. 연구가. 종교인. 학문. 작가. 교수. 발명가. 연극. 영화. 방송. 소설가. 서예가 등이 잘 맞고 육체적인 일은 맞지 않고 이상적인 것을 추구하므로 이상에 맞는 직업을 갖는 것이 좋다.,,대운 : 임대사업이나 문서발전 또는 직장승진에 좋은 시기이다.세운 : 학문 발전이 있고 직장인은 승진하며 부모로부터 상속을 받는다.,인내심이 강하고 도덕심이 있어서 학문으로 대성할 수 있다.,직장승진이나 발전은 좋으나 상업사주에게는 불리하다.,직장 승진이나 문서 재산을 취득할 수 있고 결재권을 가질 수 있다.,신앙생활이나 수행 또는 휴식을 취하는 편안한 노년기를 보낸다.