시기, 실행, 간명
비겁, 비겁, 식상발흥 직무개척 건강호조 출산운 처가와유정
비겁, 식상, 업무원만 진취력 건강호조 원행 발표 이동수
비겁, 재성, 손재 소비 이성난 가정불화 부친반목
비겁, 관성, 설화 관재 가족불화 직장문제 공명심
비겁, 인성, 의식주안정 스카우트 계약 학업순성 합격 가정화목
식상, 비겁, 사업원만 결과만족 명진 의기투합 긍정심리
식상, 식상, 재성발흥 재적성취 이성운 가정원만 재물입고 환대
식상, 재성, 이재순성 사업원만 인연 가족화목 건강 횡재
식상, 관성, 건강약화 직업불안 직주이동 관재 설화 가족불화
식상, 인성, 직업불안 건강문제 계약파기 학문불안 의식주불안
재성, 비겁, 일득삼실 손재 부부갈등 과소비 업무지연
재성, 식상, 여행 결과만족 횡재수 가정화목 득자운
재성, 재성, 관성발흥 직업운상승 이성운순성 가정원만
재성, 관성, 신분상승 출마 천거 장기출장 가정화목 이성운
재성, 인성, 매사불성 소비지출 가족불화 계약파기 손재 흉사
관성, 비겁, 업무지연 관재 설화 다툼 허언 선민의식
관성, 식상, 명예훼손 직업이동 질책 가족불화 이성난
관성, 재성, 사업운원만 이성운순성 가정원만 취업 명예
관성, 관성, 인성발흥 승진승급 계약성사 자식운원만
관성, 인성, 합격 승진 계약 스카우트 의식주안정 당선
인성, 비겁, 건강호조 학업원만 신분상승 당선 명예 안정
인성, 식상, 불안정 계약파기 학업불성 구설 육친흉사 자식불효
인성, 재성, 지출 탈재 파재 사기수 손재 분주다망 시성종패
인성, 관성, 업무원활 학업성취 승진승급 영전 합격 포상
인성, 인성, 비겁발흥 명예 명진 칭찬 주체성확립 학문성취