from,to,조정시간,종류
1908-04-01 00:00,1911-12-31 23:59,00:00,서울표준시
1912-01-01 00:00,1948-05-31 23:59,00:30,동경표준시
1948-06-01 00:00,1948-09-12 23:59,01:30,써머타임
1948-09-13 00:00,1949-04-02 23:59,00:30,동경표준시
1949-04-03 00:00,1949-09-10 23:59,01:30,써머타임
1949-09-11 00:00,1950-03-31 23:59,00:30,동경표준시
1950-04-01 00:00,1950-09-09 23:59,01:30,써머타임
1950-09-10 00:00,1951-05-05 23:59,00:30,동경표준시
1951-05-06 00:00,1951-09-08 23:59,01:30,써머타임
1951-09-09 00:00,1954-03-20 23:59,00:30,동경표준시
1954-03-21 00:00,1955-05-04 23:59,00:00,서울표준시
1955-05-05 00:00,1955-09-08 23:59,01:00,써머타임
1955-09-09 00:00,1956-05-19 23:59,00:00,서울표준시
1956-05-20 00:00,1956-09-29 23:59,01:00,써머타임
1956-09-30 00:00,1957-05-04 23:59,00:00,서울표준시
1957-05-05 00:00,1957-09-21 23:59,01:00,써머타임
1957-09-22 00:00,1958-05-03 23:59,00:00,서울표준시
1958-05-04 00:00,1958-09-20 23:59,01:00,써머타임
1958-09-21 00:00,1959-05-02 23:59,00:00,서울표준시
1959-05-03 00:00,1959-09-19 23:59,01:00,써머타임
1959-09-20 00:00,1960-04-30 23:59,00:00,서울표준시
1960-05-01 00:00,1960-09-17 23:59,01:00,써머타임
1960-09-18 00:00,1961-08-09 23:59,00:00,서울표준시
1961-08-10 00:00,1987-05-10 01:59,00:30,동경표준시
1987-05-10 02:00,1987-10-11 02:59,01:30,써머타임
1987-10-11 03:00,1988-05-08 01:59,00:30,동경표준시
1988-05-08 02:00,1988-10-09 02:59,01:30,써머타임
1988-10-09 03:00,2100-12-31 23:59,00:30,동경표준시