일간/ 지지, 子, 丑, 寅, 卯, 辰, 巳, 午, 未, 申, 酉, 戌, 亥
甲,, 천을귀인, 복성귀인 정록 천록귀인, 장군부 양인, 철사관, 문창귀인 천주귀인 관귀학관, 홍염, 천을귀인,, 유하 천복귀인 비인,, 문곡귀인 암록 학당귀인
乙, 문곡귀인 천을귀인, 복성귀인,, 정록 천록귀인, 장군부 철사관 양인, 관귀학관, 문창귀인 천주귀인 학당귀인 홍염,, 천복귀인 천을귀인,, 암록 유하 비인,
丙, 복성귀인 천복귀인 비인,, 문곡귀인 학당귀인 홍염,,, 정록 천록귀인 천주귀인, 장군부 양인, 유하 철사관, 문창귀인 암록 철사관 관귀학관, 천을귀인,, 천을귀인
丁,, 비인,, 문곡귀인,,, 정록 천록귀인 천주귀인, 암록 장군부 철사관 홍염 양인, 유하 철사관 관귀학관, 문창귀인 복성귀인 천을귀인 학당귀인,, 천복귀인 천을귀인
戊, 비인, 천을귀인, 문곡귀인 철사관 학당귀인, 천복귀인, 홍염, 유하 정록 천록귀인, 장군부 양인, 천을귀인, 문창귀인 복성귀인 암록 천주귀인 관귀학관,,, 관귀학관
己, 천을귀인, 비인, 천복귀인 철사관, 문곡귀인, 홍염,, 유하 정록 천록귀인, 복성귀인 암록 장군부 양인, 천을귀인 관귀학관, 문창귀인 천주귀인 학당귀인,, 관귀학관
庚,, 천을귀인, 관귀학관, 비인, 유하, 문곡귀인 암록 학당귀인, 복성귀인 천복귀인, 천을귀인, 정록 천록귀인, 장군부 양인, 철사관 홍염, 문창귀인 천주귀인
辛, 문창귀인 천주귀인 학당귀인,, 천을귀인 관귀학관, 유하, 암록 비인, 복성귀인 천복귀인, 문곡귀인 천을귀인,,, 정록 천록귀인 홍염, 장군부 철사관 양인,
壬, 장군부 홍염 양인, 철사관, 문창귀인 암록 천주귀인 관귀학관, 천을귀인, 복성귀인, 천을귀인, 천복귀인 비인,, 문곡귀인 학당귀인,,, 유하 정록 천록귀인
癸, 정록 천록귀인, 암록 장군부 철사관 양인, 유하 관귀학관, 문창귀인 복성귀인 천을귀인 천주귀인 학당귀인,, 천복귀인 천을귀인,, 비인, 홍염, 문곡귀인,,