일주,일주h,성격d(日柱)60갑자별,성격e1(日柱)60갑자별,성격e2(日柱)60갑자별,성격e3(日柱)60갑자별,성격e4(日柱)60갑자별,성격e5(日柱)60갑자별
甲子,갑자,종교가 명성. 기토를 보면 직업이 자주 바뀔 수도 있다. 철학적 기질,종교계에서 명성 ,낙천적인 기질을 지니고 있고 인정이 많아 대인 관계가 원만하다. ,공과 사를 정확하게 구별하고 ,화려한 것을 좋아한다. ,내유외강의 성품을 지녔으며 인내력이 강하다.  
甲寅,갑인,주체성이 강하다. 식신으로 발전. 궁리.연구. 고집스럽지만 다정. 연구. 개발,연구. 개발 ,화통하고 명랑하다. 두뇌가 명석하고 적극적이며 자기주장이 상당히 강하다. ,화통하고 배짱이 좋으면서도 ,인정이 많아 상부상조와 융화에 힘쓰는 반면 ,감정의 굴곡이 심하다.  
甲辰,갑진,주체성 독립적 사업. 낭만적. 풍류기질. 사업이나 유통,풍류기질. 사업이나 유통 ,외향적이고 굳은 이상과 호탕함이 돋보인다. ,일을 진취적으로 진행하고 맡은 바 일에 대한 책임을 완수한다. ,명예욕이 있고 ,상대방을 일방적으로 무시하는 경향이 단점이다. 
甲午,갑오,자신의 재능을 과신. 물질적 집착. 인색,자신재능 과신 ,화통하고 어질고 인자하다. ,현실보다는 이상을 추구하고 ,왕성한 활동력을 지녔으며 정의롭다. ,창조력이 뛰어나 예술 방면에 소질이 있고 새로운 것을 추구하는 기상을 지녔다. 
甲申,갑신,살인상생. 봉사. 희생정신 ,봉사 ,명분 있고 의리 있는 일에 대해서는 신의를 저버리지 않는다. ,일에 대한 추진력이 상당해서 일을 잘 벌이지만 ,장기간 소요되는 일에는 인내력과 끈기가 부족한 면이 있다. ,  
甲戌,갑술,물질 통제력 강하고. 자신의 재능 과신. 적당한 현실성과 물욕,물질통제. 재능과신 ,독립심이 강하고 책임감 있게 일을 잘 처리해 나간다. ,성실하여 주어진 상황에서 최선을 다하고 ,공과 사를 철저하게 구분하며 ,바른말을 잘해서 주변의 오해를 잘 산다.
乙丑,을축,사업가. 인내심. 약간의 신비주의. 신비세계,사업. 인내심. 신비세계 ,신념이 강하고 성실하며 계획성이 투철하다. ,불의를 보면 용납하지 않고 ,저축을 생활화하고 불로소득을 싫어한다. ,내성적인 면이 있지만 흑백을 명백히 가릴 줄 안다.  
乙卯,을묘,독보적 고집. 속으로는 재물욕 겉으로는 담담함. 고집,고집 ,성실하며 부드러운 심성을 지녔다. ,약간 내성적인 기질은 있지만 ,명랑하고 밝고 쾌활하여 주변의 분위기를 융화시킨다. ,이상적인 일을 추구하며 결단력은 있으나 지구력은 약하다. 
乙巳,을사,소유욕 과다. 동업을 통한 능력 확대. 은근한 실속파 ,동업. 은근히 실속파 ,반짝이는 아이디어를 잘 만들어낸다. ,표현 능력이 화려하고 상상력이 풍부하며 천재적인 두뇌를 지녔다. ,세심한 성품으로 상대방의 입장을 잘 배려하고 ,정직하고 정의롭다. 
乙未,을미,물질이나 감각적인 면에 대한 궁리로서의 주체성. 연구하는 사업. 설계,연구사업. 설계 ,실속을 추구하며 상대방의 마음을 잘 파악한다. ,이상과 현실이 적절하게 조화를 이루었고 ,세심한 성품을 지녔으며 ,연구심이 출중하고 판단력과 창조력이 우수하다. 
乙酉,을유,물질욕과 봉사정신의 충돌로서 정서불안. 언행 불일치. 인성으로 해소,정서불안. 언행불일치 ,깔끔하고 냉철한 이미지를 지녔다. ,공과 사를 뚜렷이 구분하고 불의와 타협하는 일을 싫어한다. ,어떠한 고난 속에서도 참고 견뎌내려는 의지가 굳다. ,성실하고 근면하다. 
乙亥,을해,편하게 자신의 몫을 챙김. 고집과 인색함. 교육과 지도자가 필요. 직관력,직관력. 인색 ,새로운 것을 추구하며 인내심이 강하다. ,마음이 온유하여 양보를 잘하고 ,상대방의 입장을 먼저 고려하여 배려하는 심성을 지녔다. ,근면 성실하고 활동력이 있다. 
丙子,병자,합리적 표현. 객관적인 감정표현. 활발하나 이성적임,활발. 이성적 ,솔직 담백한 성품을 지녔고 예의가 바르다. ,말을 조리 있게 잘하고 일을 진행할 때 정열을 다 바친다. ,화려한 것을 좋아하고 매사가 원리 원칙적이지만 ,흥분을 잘하는 것이 단점이다. 
丙寅,병인,직관력. 직관적.감정적 일처리,직관력 ,밝고 명랑하고 ,화통한 성품을 지녔다. ,원대한 포부와 이상이 항상 마음속에서 꿈틀거리는 야망가이기도 하다. ,일을 진취적으로 추진하고 뒤로 미루는 법이 없다. 
丙辰,병진,재능을 발휘. 깊은 궁리. 학자,학자 ,심성이 곱고 양심적이지만 ,야심가이기도 하다. ,신앙심이 깊고 학문에 대한 애정이 깊다. ,공손하고 예의가 바르며 불만이 있어도 일단 참고 넘어가기 때문에 대인 관계가 원만하다. 
丙午,병오,독불장군. 강한 표현력,독불장군 ,명랑한 성격을 지녔고 ,자존심이 상당히 강하다. ,한번 하고자 하는 일은 끝까지 완성을 하고 활동력이 왕성하다. ,예의가 바르고 명예심이 강해서 체면에 손상되는 일은 하지 않는다. 
丙申,병신,성취 욕구가 높으나 추진력이 떨어짐. 약간의 봉사정신. 용맹성 떨어짐,용맹성 떨어짐,밝고 명랑한 성품을 지녔다. ,집념이 강해서 한번 시작한 일은 끝장을 봐야 직성이 풀리지만 ,장기적으로 가면 불리하다. ,신앙심이 깊고 사색을 좋아하며 내심 외로움을 잘 탄다. 
丙戌,병술,감정대로 나아감. 고집스런 자기주장. 현실적인 이익 치중. 사업가 자질,고집. 사업가 ,마음이 온유하고 착해서 불쌍한 사람을 보면 그냥 지나치지 못한다. ,불의를 보면 용납하지 못하고 정직함을 추구한다. ,겉모습은 화려하고 밝은 반면 ,내심은 고독하고 외로움을 잘 탄다. 
丁丑,정축,열기를 빼는 느낌. 표현능력 탁월. 달변가. 소심. 약간 건방짐,달변가 ,지혜롭고 냉정하다. ,거짓이 없고 양심이 바르다. ,획기적인 아이디어를 잘 창출해내므로 기획을 잘하고 창작력이 우수하다. ,다소 급한 성품을 지녔지만 의리를 중요시 여긴다. 
丁卯,정묘,직관력 부정적 왜곡된 잠재의식. 잘표현. 예언,잘표현. 더듬. 예언 ,인정이 많고 예의가 바르다. ,대인 관계가 원만하고 ,획기적인 아이디어를 잘 창출해내기 때문에 기획을 잘한다. ,인내력이 강하고 성실하게 노력하는 노력파이다. 
丁巳,정사,자신의 욕구를 성취하는 집요함. 현실적. 은근표현. 눈에 보이는 것,은근표현. 눈에보이는 것 ,호탕하고 밝고 명랑한 성격을 지녔으며 ,화끈하고 급한 반면 뒤끝이 없고 시원스럽다. ,활달하면서 사교성이 출중하고 언변이 좋고 ,상대방보다는 우월하고 싶은 충동이 강하다. 
丁未,정미,차분함.신강때 자신이 옳다는 믿음.고집.신약경우 을목 인성 작용력 강화.직관력.고독,차분. 직관력. 고독 ,인정이 많아 희생정신이 강하며 ,심성이 곱고 예의가 바르고 진실하다. ,줏대가 강하고 고지식한 면이 있지만 내성적이다. ,사소한 일에 연연해하지 않고 맡은 바 책임을 다한다. 
丁酉,정유,기술적 재주꾼. 사업구상 탁월 ,기술자. 사업구상탁월 ,예리한 판단력을 소유하고 있다. ,대장부의 기질보다는 실속을 중요시하면서 실리를 추구한다. ,계획성이 투철하여 실수하는 일이 드물다. ,정서적으로 약간 불안한 감이 있다. 
丁亥,정해,大忠之人. 정관의 성질. 내면적 직감력. 겉으로 충실 내면적 거부감. 초능력,大忠之人. 초능력 ,순박하고 예의가 바르고 ,나보다는 상대방을 먼저 고려하는 심성을 지녔다. ,실리를 추구하고 합리적이다. ,도리에 어긋난 행동을 하지 않으며 정도 있는 삶을 추구한다. 
戊子,무자,재물에 대한 관심. 정재와 합,재물관심 ,다재다능하고 신념이 강하다. ,일을 함에 있어 신중을 기하고 ,치밀한 준비와 계획으로 멋지게 추진해나간다. ,일단 시작한 일은 초지일관하고 끝을 봐야 직성이 풀린다. 
戊寅,무인,자기이익과 사회대의에 대한 정신적 부조화. 공익사업가,정신부조화. 공익사업(財) ,신의를 중요시 여기며 ,신경이 예민하여 다른 사람에게 피해주는 일을 싫어한다. ,심사숙고하여 일을 처리해나가고 ,도리에 어긋남이 없으므로 주변 사람들로부터 신망을 받는다. 
戊辰,무진,투기적인 사업. 육체적 감각,투기사업. 육체적감각 ,너그럽고 원대한 포부를 지녔다. ,원리 원칙의 소유자이므로 융통성이 없어 보이기도 한다. ,의리와 배짱을 따를 자 없으며 ,자신의 소신대로 꾸준히 일을 추진해나가는 성실파이다. 
戊午,무오,직관적인 사업. 종교사업. 고집스러움,직관사업. 종교종사. 고집 ,신의가 굳건하고 자기 주체성이 강하다. ,어떤 상황이 주어져도 민첩하게 임기응변을 잘해나간다. ,고지식한 면 때문에 고집이 세다는 말을 많이 듣는 편이지만 ,인정이 많다. 
戊申,무신,궁리하는 사업. 아이디어 상품 생산. 투기성,궁리. 생산. 투기성분 ,뚝심이 있고 의협심이 강하다. ,신의를 중요시 여기며 차갑고 냉철한 이미지를 지닌 반면 ,상대방을 배려할 줄 아는 세심함도 지니고 있어 정이 많다. ,창조적인 일을 잘한다. 
戊戌,무술,강력 주체성.괴강일주의 대단한 고집,강력주체성 ,자존심이 강하여 신의를 중요시 여긴다. ,다른 사람에게 속박당하는 일을 꺼리며 ,독자적인 경영에 탁월한 능력을 발휘한다. ,상대방에게 신의와 성실을 저버리지 않는 의리파이다. 
己丑,기축,주고싶은 마음. 교사 체질. 어머니,어머니. 교사. 베푸는성격 ,도량이 넓으며 자기 관리가 치밀하다. ,소신껏 일을 진행해 나가며 ,인간적인 의리와 도리를 벗어나지 않는다. ,이상이 높고 정의심이 강하므로 함부로 접근하기 어려운 점도 있다. 
己卯,기묘,강제적으로 받아 들임. 일관성 부족. 성실함. 인성의 조절 필요. 자신억압,자신업압. 정서불안 ,사색적이며 ,겉으로는 밝고 쾌활하지만 지구력이 약하여 쉽게 좌절하는 경우가 있다. ,내성적인 성품을 지녔고 ,철학적이며 현실적인 면보다는 이상을 추구하는 경향이 강하다. 
己巳,기사,남에게설명하기좋아함.베푸는 성격. 학자,학자. 베푸는성격 ,우직하고 ,처음 작심한 것은 어떠한 고난이 닥쳐도 역경을 잘 헤쳐 나가려는 의지가 강하다. ,내성적인 기질이 있으며 감성이 풍부하고 ,상대방을 먼저 배려하는 마음을 소유하고 있다. 
己未,기미,천천히 베품. 체험적 지식 중시. 강제공익. 신비세계,베품. 강제공익. 신비세계 ,심지가 굳고 신용이 있으며 ,소신껏 행동하며 말수가 적다. ,다른 사람의 입장을 세심한 곳까지 배려하고 ,근면 성실하기 때문에 어떠한 고난이 닥쳐도 능히 이겨낼 수 있다. 
己酉,기유,자신의 연구를 공개하는 타입. 연구력 뛰어남. 단순,자신연구 활발 공개. 단순 ,신용을 중요시 여기며 약속을 잘 지키며 ,세련되고 지적인 세계를 추구한다. ,신의와 의리를 저버리는 행동을 하지 않으며 ,철학적인 사고를 잘하며 감수성이 풍부하다. 
己亥,기해,사업적 기질. 문방구점. 신약하면 교육계통. 신비한 세계 막연한 믿음. 갈등,갈등. 신비 ,논리적인 사고방식을 지녔고 ,경우가 분명하여 공과 사를 뚜렷하게 구분한다. ,신의를 중요시 여기고 말이나 행동을 쉽게 하지 않는 신중함이 있다. ,예의 바르고 신중하다. 
庚子,경자,의협심을 합리적으로 표출. 공자. 신비주의 없다. 인간적,신비×. 인간적 ,냉철한 이성을 지녔으며 ,날카롭고 예리한 비판력을 가지고 있다. ,지혜롭고 용감하고 불의를 보면 용납하지 않는다. ,정직하고 의리에 벗어나는 행동은 하지 않는다. 
庚寅,경인,위험한 사업가. 투기적 기질. 투기사업,모험. 투기사업 ,냉철한 이성을 지녔으며 정의로움을 추구한다. ,불의를 보면 용납하지 못하고 ,속전속결로 일을 시원스럽게 처리해나간다. ,다소 까다로운 성품으로 주변 사람들과 마찰을 빚기도 한다. 
庚辰,경진,자신 감정절제. 다수를 위한 희생. 괴강. 제갈공명. 남을 먼저생각. 신비현상,남을먼저생각. 신비현상 ,활동력이 왕성하고 진취적인 기상을 지녔다. ,의리를 중요시 여기며 인내력이 있다. ,신경이 날카롭고 예민한 면도 있지만 ,연구심이 있고 이해력이 뛰어나다. 
庚午,경오,이타심의 절정. 봉사활동. 초인적인 자기 희생. 대민봉사,봉사. 희생정신. 대민봉사 ,냉철한 판단력과 이성을 지녔다. ,말보다는 실천이 앞서며 인정이 많은 편에 속하지만 ,인내력이 부족하여 ,단기간 진행하는 일에는 능력을 발휘하지만 장기간으로 가면 불리해진다. 
庚申,경신,이지적인 봉사. 한가지 방면으로 몰두.고집,이지적봉사. 고집 ,믿음직스럽고 화통하고 명랑한 반면 판단력이 우수하고 화끈하다. ,개방적인 사고를 지니고 있지만 ,자기주장이 강해서 융통성이 없어 보이기도 한다. ,독립적인 생활을 추구한다. 
庚戌,경술,초인적 영감.잠재력발휘.괴강. 갈등,갈등. 초인적영감 ,단호하고 호탕한 성격을 소유하고 있으며 ,정의롭고 용감하다. ,불의를 보면 참지 못하고 약한 사람을 보면 그냥 지나치지 못한다. ,개방적이고 비밀스런 일이 적다. 
辛丑,신축,의협심. 내면을 칼을 갈아두는 타입. 방어하는 칼. 이성적. 직관감지능력,이성적. 직관감지능력 ,이미지가 준수하고 깔끔하고 ,행동 역시 민첩하다. ,사소한 일도 그냥 지나침이 없을 정도로 세심하고 신경이 날카롭다. ,단기간에 승부를 거는 일에는 유익하나 장기간은 불리하다. 
辛卯,신묘,주위의 힘을 빌어 사업. 스포츠. 신체를 단련하는 재능,스포츠. 신체단력 ,날카로운 비판력을 지녔으며 ,신념이 강해서 한번 마음먹은 일은 끝을 보고야 만다. ,정열적으로 추진을 하다가도 ,아니다 싶을 때는 뒤도 돌아보지 않고 마음을 정리한다. 
辛巳,신사,합리적. 이성적 판단. 인내심을 가진 공무원. 공익,공익. 공무원 ,두뇌 회전이 빠르고 변화 있는 생활을 추구한다. ,행동이 민첩하고 직관력이 우수해서 ,단체를 통솔해 나가는 데 역량을 발휘한다. ,예의 바르지만 신경이 예민하고 냉정하다. 
辛未,신미,영감과 직관력의 낭만적표현.시인두보. 영감. 위험. 극기심,두보. 영감. 위험. 극기심 ,예의가 바르고 다른 사람에게 신세지는 것을 싫어하는 성품이다. ,신경이 예민한 편에 속하고 ,분석력이 뛰어나서 획기적인 아이디어를 잘 창출해낸다. ,의리를 중요시 여긴다. 
辛酉,신유,고집. 주장. 주체성 덩어리. 주관적인 일처리. 타인의 조언을 듣지 않음.,1대고집 ,지적이면서 냉철한 이성을 지녔다. ,매사에 끊고 맺는 것이 분명하며 신의를 숭상하며 ,불의를 보면 참지 못하는 의로운 기질이 있다. ,주변과 융화하는 일에 노력을 많이 한다. 
辛亥,신해,남의 평판에 주의. 돋보이기 위한 적선. 멋쟁이. 신약하면 잘난척. 망신,남의식. 외모. 멋쟁이 ,매우 지혜로우며 총명하다. ,이미지는 차갑고 냉철하지만 ,세심한 면도 지니고 있어 상대방의 입장을 잘 고려한다. ,과격하지 않으며 지혜를 잘 사용해서 임기응변을 잘해 나간다. 
壬子,임자,탁월한 직관력. 예술적능력의 발휘. 고집. 식상이 필요. ,예술계통. 탁월한 직관력 ,활달하고 외향적인 성품을 지녔으며 풍류를 즐길 줄 알며 ,지혜롭고 다재다능하다. ,한마디로 팔방미인격에 해당하며 ,매사에 상당히 진취적이며 의욕적으로 일을 처리해 나간다. 
壬寅,임인,학자. 무당. 참모. 뛰어난영감. 직감. ,학자 ,총명하고 명철한 지혜를 지녔다. ,학문적인 열정이 강하고 ,매사에 능동적이고 대인 관계가 원만하다. ,애정이 많아 상대방의 입장을 먼저 고려하고 배려해 주는 심성을 지녔다. 
壬辰,임진,비판력. 분석력. 이지적. 냉정한 객관적 판단력. 동정심,비판력. 분석력. 동정심 ,진취적인 기상을 지녔다. ,왕성한 활동력과 자신감이 출중해서 웬만해서는 뜻을 굽히지 않고 ,말보다는 실천을 위주로 한다. ,예의가 바르고 비밀을 잘 간직하며 지혜롭다. 
壬午,임오,부지런히 움직임.수화기제(水火旣濟). 끈질긴근성. 재물의 관리능력 탁월 ,끝장. 재물관리. 조화화목 ,감수성이 예민하며 지혜롭다. ,심성이 온유하며 계획성이 투철하고 ,판단력과 결단력이 뛰어나다. ,집념이 강해서 하고자 하는 목표는 반드시 이루고야 마는 성품을 지녔다. 
壬申,임신,폐쇄적 심리구조. 부정적사고. 치우침. 감사기관. 木火있으면 직관력 발휘,부정적 사고방식. 형사 ,지혜롭고 다재다능한 재능을 지녔으며 ,맡은 바 책임을 다하는 성실성을 지녔다. ,은근과 끈기가 있으며 ,상대방을 말로써 설득하는 일을 잘하므로 외교 수완이 능수능란하다. 
壬戌,임술,지성적 직관력. 의존적. 백호살. 불평불만. 심성은 선량. 패물이 있어야 됨,부정적사고방식. 선량 ,도량이 넓고 자존심이 강하다. ,어떠한 장애물이 있어도 여유 있게 헤쳐 나간다. ,지혜롭고 두뇌 회전이 빠르며 다른 사람의 간섭을 싫어한다. ,지구력과 인내력이 강하다. 
癸丑,계축,백호살. 인성이 필요. 활발한 기본 심성 스스로 억압하는 구조. 군인 교관,갈등. 백호살. 교관 ,지혜롭고 신용이 두텁다. ,학문에 대한 관심이 많으며 깨끗한 이상을 소유하고 있다. ,신경은 다소 예민한 편에 속하지만 ,새로운 일들을 잘 고안해서 그 능력을 인정받는다. 
癸卯,계묘,묘기백출. 탤런트. 재치. 성품 원만함,묘기백출. 성품 원만함 ,마음이 순수하고 ,인정이 많아 상대방을 먼저 배려하는 마음을 지녔다. ,지혜롭고 총명하여 연구하는 일에 재능을 발휘한다. ,약자에게 인자하고 강자와는 대립하는 기질이 있다. 
癸巳,계사,세련된 감각과 깔끔한 매너 사업가. 신약할때 문제. 내면적인 궁리. 직감력,사업가. 직감력 ,지혜롭고 총명하다. ,성품은 내성적인 면이 있지만 ,경우가 분명하고 냉철하게 비판하는 정신이 강하다. ,까다로운 성품으로 정도 있는 바른말을 잘하며 창조적인 생각을 잘한다. 
癸未,계미,스스로 억압. 재주는 많지만 결실이 어렵다. 추진력이 약하다.,갈등. 재주多 결실장애 ,여린 마음을 지녔고 착실하다. ,신경이 예민하고 날카로운 기질이 있으며. ,임기응변하는 재주가 뛰어나다. ,함부로 결단을 내리지 않는 반면 결정한 일에 대해서는 끝까지 최선을 다한다. 
癸酉,계유,상관 능력의 집중적 발휘. 지나치면 일관성이 없다. 아랫사람 잘함. 직감,재능. 집중. 직감 ,냉철하고 합리적이며 깔끔한 이미지를 지녔다. ,완벽성을 추구하고 신경이 예민하고 날카롭지만 ,인정이 많아 손해 보는 일이라도 양보할 줄 안다. ,근면하고 보수적이다. 
癸亥,계해,총명. 주체성. 제멋대로 살아감. 소동파,주체성. 총명,화통하고 참신한 아이디어를 많이 생각해낸다. ,주변의 분위기를 밝고 명랑하게 잘 바꾸고 ,사소한 일에 대해서는 관대하다. ,내성적인 기질이 있어 차분하고 논리정연한 면이 있다.  