천간,천간h,오행,성격a,성격b1,성격b2,성격b3,성격b4,성격b5,성격c1,성격c2십성,성격c2표면심리,성격c3십성,성격c3내면심리
甲,갑,木,진취적. 장남(장녀)의 역할. 도전적 독립심 자존심 자기표현력 강함. 시작은 좋으나 마무리 약함. 타인의 시선 의식 ,성격이 활발하고 적극적이며 새로운 일을 잘 도모하며 기획 계획 발명 등에 능하다. ,직장생활보다 자유로운 업종을 선호하며 ,자존심이 강하여 남에게 굽히거나 지는 것을 싫어한다. ,어질고 인자하고 착하지만 ,강직하고 단호한 면도 있다. ,강한 성장력의 상징이다. ,비견,라이벌 의식 ,편재,물질적이지 못함. 강력한 집착이 없다. 바람둥이
乙,을,木,생활력 적응력 강함. 재물에 대한 집착. 욕심 영리 고집 주변의식 ,성격이 어질고 부드러우며 사교성이 많다. ,사치와 장식을 좋아하며 활동성이 강하고 멋쟁이가 많다. ,주로 말로 먹고사는 직업을 가진 사람이 많고 언변이 능하다. ,개성이 강하여 타인과 마찰이 발생하기 쉽고 ,입이 가볍다. ,사업가. 재물욕. 재물에 강한 집착을 한다. ,겁재,합리적 경쟁. 주도면밀. 용의주도 ,정재,합리적인 재물욕
丙,병,火,성격 급하고 화끈함. 공익중시 솔직 진실. 타인 일에 간섭(충돌가능성). 비밀유지 어려움(솔직해서) ,예의를 소중하게 생각하며 ,밝고 명랑하며 열정적이다. ,성격이 매우 급하지만 뒤끝이 없는 시원한 성격이다. ,아는 것이 많고 남을 무시하는 경향이 있으며 과장이 심하다. ,만물을 양육(養育)하는 태양의 기운으로 아는 것이 많으며 만물박사가 많다. ,교주. 시위대의 선봉. 편관이 식신으로 분출한다. ,식신,자신의 의견을 경쟁적으로 노출. 인정받고 싶어함 ,편관,표현욕구가 공익이라는 마음. 합리적이지 못하고 강제적임
丁,정,火,온화 정직(성격은 급한편). 봉사적 화술(언변). 예민함 화려함 추구 ,평소에는 지나칠 정도로 느긋하지만 ,때에 따라 불꽃같은 열정을 보이기도 한다. ,겸손하고 총명하며 예민해서 판단력은 좋으나 소심함이 있다. ,잔정이 많고 정에 약해서 손해 보는 점이 많고 배신을 잘 당한다. ,남에게 악한 일은 잘 하지 않는다. ,냉정한 자기 자신의 표현. 치밀하다. ,상관,합리적 자기 현시. 집요. 치밀 ,정관,냉정하게 현실 직시
戊,무,土,무게감 믿음직 생활력. 융통성 적음. 신용중시 비밀스러움 원리원칙 고집 ,책임감 있고 성실하며 ,계획한 일을 박력 있게 밀어 붙이는 추진력이 남달리 강하다. ,신용과 신의를 소중히 여기고 말과 행동에 신중함이 있다. ,중용을 너무 지켜서 때로는 무능하게 보인다. ,무게가 있고 중후하고 포용력이 있다. ,큰재물. 재물에 대한 집착. 내면적 고독감이 있다. ,편재,재물에 대한 집착 ,편인,어차피 혼자라는 고독감
己,기,土,포용성 자애심 고지식 산만 의존심 변덕 다재다능 ,어느 편에 속하지 않고 중도를 지키지만 ,때로는 중심이 없는 우유부단한 사람으로 오해를 받기도 한다. ,사교적이고 인정이 많아 친구가 많다. ,무게가 없고 말과 행동에 일치가 되지 않는 점이 흠이다. ,바람둥이 기질이 있으며 이성으로 인한 아픔을 겪는 일이 많다. ,물질에 집착. 대가없는 베품. 모질지 못하다. ,정재,물질적. 재물욕심. 정당한 대가로서의 재물 ,정인,겉보기엔 물질적이지만. 고독한 내면과 베품의 삶
庚,경,金,고집 과감한 추진력. 강직 신념 원리원칙. 배려 및 융통성 부족. 세밀함 부족 ,결단력이 강하며 과감한 면이 있고 ,의협심이 강해서 불의를 보면 참지 못하는 성격이다. ,냉정한 듯 보이지만 속은 따듯한 정이 많은 사람이다. ,착하고 순진하여 이성으로 인한 슬픔을 겪는 일이 가끔 있다. ,모든 일을 일사천리로 진행하는 성향이 강하다. ,깡패. 강제적. 난폭. 강제적 이타심 ,편관,의협심. 가정에 소홀하다. ,비견,의리
辛,신,金,자존심 뒤끝(욱하는 성질) 경쟁심 영리 멋쟁이 세심 예민 기억력 ,냉정하고 결단력이 강하며 정이 없지만 의리가 있다. ,자만심이 강하고 대화와 타협을 할 줄 몰라서 사회적으로 교제에 어려움이 많다. ,계산적이고 이기적이며 너무 까다로운 점이 단점이다. ,지혜롭지만 너무 잘난척하는 경향이 많다. ,약간의 결벽증이 있는 사람도 있다. ,고집스런 의협심. 보통때는 참을성이 있다. ,정관,합당한 봉사 정인 ,겁재,의협심. 자존심. 단. 반성하지 못하는 성격
壬,임,水,정확함 실천성 연구심 영리 정직 결단력. 교육분야에 재능 ,본인이 손해 보는 일은 절대로 하지 않으며 ,색정이 강해서 바람둥이 기질이 많다. ,성격이 차고 냉정하지만 마음은 따듯하고 ,암기력과 기억력이 좋고 무엇이든 모으는 성질을 가져서 부자가 될 수 있는 기질을 가지고 있는 사람이 많다. ,때로는 도덕과 법을 무시하는 경향이 있다. ,골똘히 생각. 종교적. 학자풍 이다. ,편인,음흉. 고민하면서도 잘 드러내지 않음 ,식신,내면의 노출
癸,계,水,꼼꼼함 섬세 다정다감 희생 봉사 영리 사교성 고집. 융통성 적음,겉은 인자하나 속은 냉정한 사람이 많고 계산이 빠르다. ,목적을 위해서는 수단과 방법을 가리지 않는 사람이 많다. ,자존심이 강해서 남의 말을 듣지 않으며 ,너무 개인적인 성향이 짙어 교제에 문제가 많다. ,자기가 제일이어서 잘난 척을 잘하며 자비심과 냉정함을 동시에 지녔다.,비. 능소능대의 재능. 생동감이 있다. ,정인,가뭄을 해소하는 비 ,상관,자신의 의사를 활발하게 전개. 