신살,기본내용,조건(남),조건(여),조건(기타)
현침(懸針),\n▷ 일명 자형살(字形殺)로 글자의 모양이 바늘처럼 뾰족함 \n▷ 날카로운 바늘 붓 침 칼 가위 흉기 정곡(正鵠)의 물상으로 기본적으로 사람을 살리는 활인(活人)의 성분 \n▷ 일주 기준 갑신묘오미신(甲 辛 卯 午 未 申)이 두 개 이상 있으면 영향 \n▷ 현침살이 있으면 논쟁을 즐기되 의견이 상충하면 적으로 규정하여 제압하려는 성질이 있음. 특히 화가 나면 포악해짐 ​\n▷ 정확하고 비판적 화술구사. 성격이 예민하고 감성적이며. 잔꾀에 능하고 속전속결의 자모자패(自謀自敗) 형상 ​\n▷ 설화(舌禍)에 의한 관재구설 및 신경과민증세로 다혈질 ​\n▷ 현침살의 직업은 헤어디자이너 의상디자이너 의사 세공사 등의 금속기구를 활용한 직업과 문필가 역술인 비평가 평론가 애널리스트 분석가 조각가 재단사 인각업무 화가 IT기술자 정육점 치기공사 간호사 펜싱 도축업 고물상 등 직업적성 ​\n▷ 현침은 예능과 기술 분야의 소질이 다분하며 종교성향을 보임 \n▷ 현침살이 있으면 허리 및 목 등에 디스크증상. 수술수,,\n▷ 여명현침은 상대에 따라 불감증이 심하지만 성적욕구가 강함,\n
형(刑),1) 형(刑) \n▷ 지지에서 발생하는 살(殺) 가운데 가장 강력한 영향력을 미치는 것으로서 주로 개인의 영육과 대인관계에 불협화음과 생각지도 않는 사건사고를 일으키는 흉살 \n▷ 사주에 드러난 형살을 비롯해 행운에서 형살을 만나도 관재구설 신체상해 부부불화 고집불통 안하무인 등의 강한 기운이 발생하여 내외적으로 마찰과 흉사가 발생 \n▷ 무은지형(無恩之刑). 지세지형(持勢之刑). 무례지형(無禮之刑). 자형(自刑) 등으로 분류 ​\n▷ 사주에 형살이 있어도 기운이 청하고 균형이 잡히면 군경검 및 의료계통. 기술직 등의 직종에서 피흉 대길 ​\n▷ 형살과 십성의 관계   비겁형살은 불편한 형제자매관계 친구관계배신 도박중독   식상형살은 건강악화 직업변동 처가와 반목. 여명의 경우 산액과 자식으로 인한 고통   재성형살은 사업부진 부부불화 부친과 결별. 손재수   관성형살은 인신사고. 도박 및 마약 중독증. 납치 등 횡액. 관성형살의 직업은 생살여탈의 군경검. 의사 등 직업적성   인성형살은 모친쇠약으로 질병과 불구. 문서 운 불리. 그러나 공부는 법률 의료 기술 등에 관심 (1) 인사신(寅巳申)형 \n▷ 무은지형(無恩之刑)으로 삼형살(三刑殺)이라고 함 \n▷ ‘은혜를 배신’ 한다는 의미로서 선민의식이 강해 거만하고 약자를 업신여기고 강자에 굴신거리는 전형적 표리부동 \n▷ 인사(寅巳). 사신(巳申). 인신(寅申) 두 자만 있어도 영향력 동일하나. 인신(寅申)은 충과 형으로 부정심리가 배증 \n▷ 이(利)에 민감하여 대인관계의 기준을 이해타산적으로 접근하고. 습관적 배신과 불충으로 수서양단(首鼠兩端)의 이중성 \n▷ 연지와 월지의 인사신(寅巳申) 형은 부모에게 불효하고. 하극상의 기질로 상사에게 안하무인격 언행. 교활하고 잔머리의 대가 ​\n▷ 일지와 시지의 인사신(寅巳申) 형은 처덕과 자식 복이 없고. 특히 여명은 낙태 등 산액으로 자식 복 기대난망 ​\n▷ 인사신(寅巳申) 형이 있으면 성격이 급하고 조열하며. 다혈질적 기질로 마찰이 잦고 지구력이 약하여 자모자패 (自謀自敗) \n▷ 편도선 등의 순환기계통의 질환과 장 질환으로 수술수. 교통사고 및 사기에 취약 \n▷ 삼형살이 장생(長生). 관대(冠帶). 건록(建祿). 제왕(帝旺)과 합국하면 생살여탈 직업군에서 두각을 나타냄 \n▷ 인사신(寅巳申) 형이 십이운성의 사절(死絶)과 동주하면 매사불성이며. 여명은 흉사가 다반사고 해로 불가 ​\n▷ 여명의 삼형살은 남편과 해로곤란. 남편백수. 남편경시. 고독지명으로 대체로 가주(家主)의 역할 (부성입묘의 현상과 동일) ​\n▷ 일지 인(寅)에 사(巳)운-건강이상. 신(申)운-구설. 신경쇠약   일지 사(巳)에 인(寅)운-성격변화. 신(申)운-재물손괴   일지 신(申)에 인(寅)운-편두통. 사(巳)운-관재구설 ​\n▷ 일지 인(寅)에 신사(申巳)운-신경계 간장 임파 갑상선   일지 사(巳)에 인신(寅申)운-순환계질환 눈 심장 소장   일지 신(申)에 인사(寅巳)운-골격계질환 대장 순환기 폐 (2) 자묘(子卯)형 \n▷ 무례지형(無禮之刑)으로 상형살(相刑殺)이라고 함 \n▷ 음지(陰支)의 왕기(旺氣)로서 비정상적 성취욕이 강해 부작용 발생 ​\n▷ ‘예의를 모르다’는 의미로서 제멋대로 행동하려는 무례한 성정으로 불쾌감을 유발하고. 독선적 성격으로 분위기를 자기 멋대로 끌고 가며 언행이 거칠고 과격 \n▷ 일지를 기준으로 지지에 자묘(子卯) 형이 있으면 해당 십성육친의 부정심리가 발동 \n▷ 여명의 경우 자묘(子卯) 형이 있으면 배우자를 극부극처(剋夫剋妻)하여 관재구설로 해로 불가 \n▷ 행운에서 자묘(子卯) 형이 와도 가정불화 및 손재수 ​\n▷ 자묘(子卯) 형이 있으면 현침의 작용으로 뇌질환과 관련한 두통과 방광 등의 생식기 질환. 약물중독 변태성 행위에 취약 \n▷ 사주가 청기하면 기예와 학예. 창조적 분야에서 소질발휘 (3) 축술미(丑戌未)형 \n▷ ‘동류의 형’으로 지세지형(持勢之刑)이며 붕형(朋刑) \n▷ 자기 기운에 충만하여 자기만의 세상을 그리며 세속과 담 쌓고 사는 독특한 일면을 보이며 침잠하는 형태. 이해타산적. 사기성 \n▷ 축술미(丑戌未) 형이 있으면 예상 이외의 사고수에 직면하게 되거나. 대인관계에서 관재 및 손재가 따라 물질적 손해를 봄 \n▷ 일의 중단과 헤어짐이 반복되며 영험한 체험을 반복 \n▷ 정신적 불안정과 접신한 기운이 감돌아 한 곳에 정착하기 어렵고 일반인과는 사뭇 다른 행태를 보임 \n▷ 우울과 조울이 반복되어 사소한 일로 언쟁 및 과격한 행동 \n▷ 이유 없이 몸이 아프지만 돌아다니면 정상으로 회복 \n▷ 종교적 신념과 행위에 관심이 많으며 말없이 관조적 태도 \n▷ 여성의 경우 축술미(丑戌未) 형이 있으면 가정불화. 고독. 해로불가 \n▷ 술축(戌丑) 술미(戌未) 축미(丑未)의 두 자가 있어도 영향력 동일 ​\n▷ 신경 및 순환계 질환이 의심되며 특히 정신이상 및 심신장애. 과민성 대장성질환. 견통. 목과 허리 디스크 등의 질환에 취약 (4) 진오유해(辰午酉亥)형 \n▷ 병존(竝存)의 자형(自刑)이라 함(일시에 동주하면 강함) 형으로 자신에게 형을 가한다는 의미 \n▷ 진진(辰辰) 오오(午午) 유유(酉酉) 해해(亥亥)를 비롯하여 십이지지 모두 병존의 자형(子刑) \n▷ 사주에 자형(自刑)이 있으면 정체성이 불분명하고 의타심이 강해짐. 유시무종 자모자패 변덕 강박관념 내성적  신체장애 투쟁적 광인(狂人)기질 다혈질 집요 짜증 폭발력 ​\n▷ 현실고수 심리가 강해 공직자 등 보수적 직업적성이며 자영업 등의 사업에는 부적합 ​\n▷ 사주에 자형(自刑)이 있으면 침잠의 기운이 감돌아 사고가 편파적이며 변화를 싫어하고 외골적이며 천박한 행동 ​\n▷ 자형(自刑)이 십이운성의 사절(死絶)지와 동주하면 신체에 횡액 \n▷ 진진(辰辰)형-이기적 고허지명. 동정심과 배려심 없음. 냉정. 육친덕박 \n▷ 오오(午午)형-자기주장 강함. 다혈질. 극단적. 잘난 체함. 나서기 잘함. 구설수 \n▷ 유유(酉酉)형-검봉세금(劍鋒細金) 욱 폭발적 민감 신경질 \n▷ 해해(亥亥)형-게으름 유시무종 비관 시기질투 의기소침 난관연속,,,\n
홍염(紅艶),\n▷ 도화살과 비슷한 신살이지만. 홍염살이 사주에 있으면 묘한 매력을 발산하여 이성의 관심과 흥미를 유발시킴 \n▷ 경술(庚戌) 정미(丁未) 무진(戊辰) 병인(丙寅) 갑오(甲午) 신유(辛酉) 임자(壬子)일주 \n▷ 타인의 감언이설에 부화뇌동하여 분위기를 쉽게 타는 유형 \n▷ 성정이 밝고 명랑하며 상대방의 기분을 맞추려는 배려심과 동정심 및 호의적 태도로 상대방이 착각의 개연성 \n▷ 상관견관(傷官見官)의 식상과 관살이 혼잡하면 난삽(難澁)한 행동 ​\n▷ 사주에 수기가 강하면서 홍염살이 있으면 작용력이 큼 \n▷ 홍염살과 도화살이 겹치면 작용력 배가. 눈웃음. 사치. 허영 ​\n▷ 남명보다 여명에 많이 작용하나 어느 쪽도 비슷함 ​\n▷ 홍염살이 있는 사주의 직업은 방송연예인 쇼핑호스트 스튜어디스 숙박업 홍보영업직 에어로빅 강사 등 적성 \n▷ 홍염살이 있으면 현대인의 직업적성에 적합하여 환영받음 \n▷ 분명한 정체성과 주관성 확립으로 철저한 자기 관리 필요 ​\n▷ 연월의 홍염살은 일찍 홍염의 작용이 있고. 일시의 홍염살은 늦게 작용하지만 월주에 편관이 있으면 반듯한 생활,\n▷ 건명홍염은 여성에게 인기 있으며 여성이 많은 곳에 근무해야 길함,,\n
효신(梟神),\n▷ 효(梟올빼미 효)는 동방불인지조(東方不仁之鳥)로 성장 이후 어미새를 쪼아 죽인다는 악조(惡鳥) \n▷ 사주의 일주에 효신살이 있으면 모친과 불화하고 이별. 남명은 고부갈등(姑婦葛藤). 여명은 시모갈등(媤母葛藤) \n▷ 갑자(甲子) 을해(乙亥) 병인(丙寅) 정묘(丁卯) 무오(戊午) 기사(己巳) 경진(庚辰) 경술(庚戌) 신미(辛未) 신축(辛丑) 임신(壬申) 계유(癸酉)일주(편인과 정인의 12개) \n▷ 경진(庚辰)과 경술(庚戌)일주는 효인 및 괴강살로 작용력 배가 \n▷ 일주에 효신살이 있으면 모친과 인연이 박하고. 일찍 헤어지는 아픔 등으로 어머니에 대한 원망과 미움이 자리함 \n▷ 효신은 이성에게 잘하고 인정스럽지만 이해타산적. 자존심. 냉정 \n▷ 편인효신은 문장력 명예욕 질투심 판단력 재치. 심적 변화 심함 \n▷ 사주에 효신살이 있는 사람은 새의 형상과 그림 등을 없애야 효신의 흉사 피흉 \n▷ 묘목(卯木) 효신은 편을 가르는 습성. 선견지명. 두뇌영민 \n▷ 일지 효신은 남녀 모두 배우자 인연이 불리 ​\n▷ 효신을 두고 시주에 식상을 보면 자식 복이 없음,,​\n▷ 여명에서 일시(日時)가 효신이면 식상을 극하여 산액 등의 흉사와 자궁질환으로 자식을 얻기가 곤란,\n
겁살,\n▷ 재물이든 사람이든 겁탈을 당한다는 살입니다. 손재 도난 사기 질병 관재 좌천을 의미 \n▷ 밖으로부터 겁탈이나 강탈을 당함을 말한다. 12신살중 가장 강하게 작용하는 대살로 불려지고 있다. \n▷ 길성이 함께하면 운이 열리나 흉성과 함께 있으면 화를 키우게 된다. \n▷ 외부로부터 가해지는 모든 위해. 즉 교통사고등 갑작스런 사고나 압류차압 등과 같이 외부의 힘에 의한 사고는 물론 수술이나 질병 등에 의한 사고도 포함된다.,,,\n▷ 겁살이 연주에 있으면: 어린나이에 객지를 떠돌면서 고생을 할 수도 있으며 가문을 잇기 어렵다고 본다. \n▷ 겁살이 월주에 있으면: 부모형제와 정이 적고 형제중에 단명한 사람이 있을수 있다. \n▷ 겁살이 일주에 있으면: 부부사이가 좋지않고 배우자가 질병에 시달릴수도 있다. \n▷ 겁살이 시주에 있으면: 자식이 귀하고 그 자식도 자녀가 없거나 아들을 둘 수 없는 경우가 많다. \n▷ 대운 세운에서 겁살을 만났을 때: 대운에서 겁살운을 만나면 불완전한 건물에서 살게되거나 강제 철거 등의 우려가 있는 위험한 곳에서 살게되거나 자리를 지키기위해 시비나 분쟁에 휘말리게 된다. 또한 직장을 그만두거나 배우자가 바람을 피우거나 재산을 탕진할 수 있다. 세운에서 겁살운을 만나면 가정에 대해 차압압류 철거 부도 등이 생기거나 건강이 나빠질 수 있다. 미혼자는 결혼에 문제가 생기고 자녀들은 유괴. 임신중일 때는 유산문제가 생긴다. 일진에 찾아온 손님은 사활이 걸린 중대한 일로 보아야 한다.\n
재살,\n▷ 감옥에 들어가는 수 또는 관재수로 보기 때문에 수옥살이라 합니다. 감금 납치 구속을 의미 \n▷ 일명 수옥살로 감금이나 납치 포로 감옥과 관련이 있는 살이다. \n▷ 자신이 재살을 이길 수 있는 사주이면 사법기관에서 근무하는 사주나 재살을 감당할 수 없는 사주라면 구속되거나 감금당하는 생활을 할 수 있는 사주이다. \n▷ 재살이 관살과 함께하면 구속될 수 있다.,,,\n▷ 재살이 연주에 있으면: 조상중에 비명횡사한 일이 있을 수 있으며. 소송이나 감금 등 관재수가 있을 수 있다. \n▷ 재살이 월주에 있으면: 부모 형제 중에 큰 사고를 당하거나 객사한 사람이 있을 수 있다. \n▷ 재살이 일주에 있으면: 부부사이가 좋지않아 헤어질수도 있으며. 자신이나 배우자가 사고를 당할 위험도 있다. \n▷ 재살이 시주에 있으면: 자식과 사이가 좋지않고. 또한 그 자식들로 인해 고생을 면하기 어렵다고 본다. \n▷ 대운 세운에서 재살을 만났을 때: 잘 풀리는 듯한 일이 끝내 실패가 되고. 잩은 다툼과 송사가 끊이지 않으며 천재지변의 어려움도 따른다고 본다.\n
천살,\n▷ 불의의 천재지변을 당하게 된다는 살을 말합니다. 홍수 화재 지진 또는 혈육의 사망 \n▷ 하늘로부터 천재지변에 관련된 재앙을 받는 사주이다. 태풍이나 홍수 가뭄 중풍이나 언어장애 등 피할 수 없는 재앙이 있을 수 있음을 의미한다.,,,\n▷ 천살이 연주에 있으면: 조상중에 천재지변으로 비명횡사한 경우가 있을 수 있고 타향살이의 고생을 면하기 어렵다. \n▷ 천살이 월주에 있으면: 부모형제 중에 큰 사고를 당할 수 있고 집안과 인연이 좋지않다. \n▷ 천살이 일주에 있으면: 부부사이가 좋지않고 부부중에 천재지변으로 목숨을 잃거나 크게 다칠 수 있다. \n▷ 천살이 시주에 있으면: 자식에게 좋지않는 일이 일어나기 쉬워 자식으로 인한 근심이 크다고 본다. \n▷ 대운 세운에서 천살을 만났을 때: 일을 벌여도 실속이 없고 급성질환 등이 생길 수 있어 종교에 의탁해야 할 일이 생긴다.\n
지살,\n▷ 역마와 유사한 돌아다니는 살을 말합니다. 땅의 저주 \n▷ 땅에 의해 받는 재앙으로 직장이나 머무르는 집을 한곳에 두지못하고 자주 옮겨다녀야만 하는 살로서 작은 역마에 해당한다. \n▷ 지살이 인성과 함께하면 공부를 위해 고향을 떠난다. \n▷ 도화살과 함께하면 애인을 찾아다니기에 분주하다. \n▷ 지살이 충하면 교통사고에 유의해야 한다.,,,\n▷ 지살이 연주에 있으면: 어린나이에 객지로 나가 고생할 수 있으며. 가까운 조상중에 객사한 일이 있을 수 있다. \n▷ 지살이 월주에 있으면: 부모형제가 바쁘게 돌아다닌 관계로 외로운 생활을 할 수도 있어 부모형제 덕을 보기 어려워 자수성가할 타입니다. \n▷ 지살이 일주에 있으면: 부부가 서로 다른 것을 찾아 돌아다니는 격이라 부부사이에 정이 없고 함께 있을 시간도 적다. \n▷ 지살이 시주에 있으면: 자녀가 밖으로 나돌아 속을 썩이게 된다. \n▷ 대운 세운에서 지살을 만났을 때: 이민이나 직장이동. 근무지 변동이 있거나 별거. 각방 생활 등을 할 수 있다.\n
연살,\n▷ 주색에 빠지게 되는 살입니다. 주색 도박 풍류 호색등 \n▷ 도화살이라고도 부르며 색정이 많아 화려하고 아름다운 것을 좋아하며. 이성에 대해 민감한 반응을 보이며 주색을 즐기며 음탕하다고 본다. \n▷ 최근에는 연예인 살이라고 하여 좋은 이미지를 많이 내포하고 있기도 하다. \n▷ 여자가 도화에 역마가 함께하면 음란하고 정부와 도주한다고 본다. \n▷ 도화는 공망과 동주하면 길하다.,,,\n▷ 연살(도화살)이 연주에 있으면: 조상이 배우자의 인연을 지켜주는 격이라 부부사이에 정이 각별할 수 있다. \n▷ 연살(도화살)이 월주에 있으면: 부모형제 중에 이성문제로 속을 썩일 수 있으며 부모형제와 인연이 적고 정이 없을 수 있다. \n▷ 연살(도화살)이 일주에 있으면: 배우자의 품행이 바르지 못한다고 하여 다툼과 갈등이 심하고 심하면 갈라설수도 있다. \n▷ 연살(도화살)이 시주에 있으면: 자식이 이성문제로 속을 썩이고 화류계로 빠지는 등 잘못된 길로 들어설 수도 있다. \n▷ 대운 세운에서 연살을 만났을 때: 연살 대운이 오면 이성이나 주색에 빠져 재산상. 명예상 어려움이 생기게 된다. 연살 세운이면 대운과 유사하나 미혼남녀는 결혼상대가 아닌 육체적 관계의 상대를 만난다고 본다.\n
월살,\n▷ 모든 것이 고갈된다는 살입니다. 무기력증이나 위축증 \n▷ 패배나 파괴를 의미하며. 소아마비 등 신체적인 이상이나 송사에 휘말리는 등 귀찮은 문제가 발생할 수 있다. \n▷ 하지만 어두운 밤에 달빛은 힘든 상황에서 반사이익이 있을수도 있는 살이다.,,,\n▷ 월살이 연주에 있으면: 조실부모하거나 타향에서 고생할 수 있으며. 하는 일마다 잘 풀리지 않는다. \n▷ 월살이 월주에 있으면: 부모형제 덕을 보기 어려우며 일은 많이 시작하나 용두사미로 끝나는 경우가 많다. \n▷ 월살이 일주에 있으면: 큰 소득도 없는 바쁜 생활로 인해 배우자와의 인연이 좋지 않고 별거하거나 주말부부가 될 수도 있다. \n▷ 월살이 시주에 있으면: 효자를 두기 어렵고 자식으로 인한 걱정이 떠날 날이 없다. \n▷ 대운세운에서 월살을 만났을 때: 대운이 오면 뜻하지 않은 횡재수가 생겨 포기한 돈을 돌려받거나 사례금. 위로금 등의 돈이 생기거나 상속재산이 생긴다. 세운에서 월살이 오면 하는일마다 어려움에 봉착할 수도 있다.\n
망신살,\n▷ 글자 그대로 망신을 당한다는 살입니다. 실수 \n▷ 술이나 이성문제 등 도덕적이지 못한 일로 남의 입에 오르내려 망신을 당할 우려가 크다. 과욕을 줄이는 노력이 필요한 살이다.,,,\n▷ 망신살이 연주에 있으면: 가까운 조상대에 주색으로 구설수에 오른 경우가 있을 수 있고 일찍부터 객지생활을 하거나 물려받은 가산을 탕진할 수도 있다. \n▷ 망신살이 월주에 있으면: 부모형제가 구설수에 오를 수 있어 집안이 불안하고 위태로운 생활의 연속이 될 수 있다. \n▷ 망신살이 일주에 있으면: 부부간에 정이 없고 수치를 모르는 격이라 백년해로하기 어렵고 재혼을 할 수도 있다. \n▷ 망신살이 시주에 있으면: 자식으로 인한 구설수에 휘말릴 수 있으며 말년 또한 편하지 않다. \n▷ 대운 세운에서 망신살을 만났을 때: 사업의 부도. 가산탕진 등의 어려움에 봉착하여 명예가 땅에 떨어지는 경험을 하게 된다.\n
장성살,\n▷ 문무를 겸비하여 권위를 드높이는 살입니다. 출세를 의미 \n▷ 강한 힘을 나타내는 말로써 출세나 승진 등 진취적인 기상으로 높은 관직에 오를 수 있음을 의미한다.,,,\n▷ 장성살이 연주에 있으면: 권력을 쥐게되어 여러사람을 통솔하는 위치에 오를 수 있다. \n▷ 장성살이 월주에 있으면: 사법관이나 경찰로 진출할 수 있으면 부모형제 중에 전쟁 등 국가를 위한 일로 전사한 사람이 있을 수 있다. \n▷ 장성살이 일주에 있으면: 자신은 부귀와 공명을 떨칠 수 있으나 부부사이는 좋지 않아 별거나 이별수가 있다고 본다. \n▷ 장성살이 시주에 있으면: 말년에 더더욱 고귀해지는 형태라 말년이 영화롭고 고귀한 생활을 할 수 있다고 본다. \n▷ 대운 세운에서 장성살을 만났을 때: 사업의 확장. 직장에서의 승진. 시험 합격은 물론 미혼자는 짝을 찾는 등 만사형통하며 인덕이 넘친다.\n
반안살,\n▷ 출세한다는 의미가 들어있는 살입니다. \n▷ 말의 안장에 오를 수 있음으로 승진이나 출세를 상징하는 좋은 의미가 있다.,,,\n▷ 반안살이 연주에 있으면: 조상덕으로 먹고 살 수 있는 운이라 평생 큰 걱정없이 영화로운 생활을 즐길 수 있다. \n▷ 반안살이 월주에 있으면: 부모형제와 정이 많고 큰 덕을 볼 수 있는 형태라 어떤일이던 큰 어려움 없는 생활을 할 수 있다. \n▷ 반안살이 일주에 있으면: 서로 상대를 위하는 마음이 극진해 부부간에 금슬이 좋고 서로간에 존중하며 화목하게 지낼 수 있다. \n▷ 반안살이 시주에 있으면: 자식이 많고 자식으로부터 효도를 받을 타입이라 영화로운 노년이 될 수 있다. \n▷ 대운 세운에서 반안살을 만났을 때: 반안살 대운이면 사업의 번창. 직장인의 승진. 집안은 화목해지고 새로운 일도 시작하게 된다고 본다. 반안살 세운이면 대운과 같으나 노인분이 있으면 우환도 생길 수 있다고 본다.\n
역마살,\n▷ 지살보다 의미가 강한 바쁘지만 실속이 없는 살입니다. 여행이나 해외 나들이 \n▷ 한곳에 머무르지 못하고 돌아다녀야 직성이 풀리는 살이다. 때에 따라 적극적으로 임하는 활동성을 포함한다고 본다.,,,\n▷ 역마살이 연주에 있으면: 어린나이에 객지로 떠돌며 고생을 할 수 있다. \n▷ 역마살이 월주에 있으면: 객지에서 사업을 하여 성공할 수는 있으나 안정된 거처를 두지못해 정신적으로 황폐한 생활이 될 수도 있다. \n▷ 역마살이 일주에 있으면: 부부의 정이 없어 인연이 바뀔 수 있으며 만년에는 홀로 사는 고독을 맛볼수도 있다. \n▷ 역마살이 시주에 있으면: 자식이 이민을 가거나 멀리 떨어져 살 수 있다. \n▷ 대운 세운에서 역마살을 만났을 때 : 직장의 변도이나 좌천. 해외 유학이나 이민. 운수업 종사 등의 일이 생긴다고 본다. 부부간에는 이혼이나 별거 등이 있을 수 있고. 어린 나이네 객지로 나가는 경우도 생긴다.\n
육해살,\n▷ 피곤으로 인해 여러가지 병이 생긴다는 살입니다. 신체와 육친과 관련된 질병 \n▷ 질병이나 화재 수재 등이 발생할 수 있으며 관재수에 휘말릴 가능성도 있다. \n▷ 여기서의 육해는 병고 재산탕진 가난 형벌 생사별 사망 등 6가지 변고를 나타낸다.,,,\n▷ 육해살이 연주에 있으면: 조상을 부정하는 격이라 양자로 가거나 본가와 인연을 끊을 수 있어 대를 잇기 힘들다고 본다. \n▷ 육해살이 월주에 있으면: 부모형제와 인연이 박하고 타인의 위해나 음해로 부모형제와 정이 적을 수 있다. \n▷ 육해살이 일주에 있으면: 부부의 정이 약해 외롭고 고독한 생활을 할 수 있으며. 광적으로 신앙에 빠져들 수도 있다. \n▷ 육해살이 시주에 있으면: 자손들에게 좋지않은 일이 생길 수 있고. 스스로도 말년을 고독하게 보낼 수 있다. \n▷ 대운 세운에서 육해살을 만났을 때: 압류나 부도 등의 재산상 손실이 생기고 부상이나 질병으로 수술을 할 수도 있다. 직장에서는 좌천이나 실직 등의 일이 생길 수 있어 종교에 의탁하는 경우도 생긴다.\n
화개살,\n▷ 영리하고 학문의 성취가 높은 살입니다. 귀인의 도움. 종교성 \n▷ 고독과 학문. 종교나 예술을 상징하며 인기에 관련된 일이나 종교와 관련된 일을 할 수도 있다. \n▷ 인생에서 만나는 인복에 따라 길흉화복이 달라진다고 알려지고 있다.,,,\n▷ 화개살이 연주에 있으면: 어린시절부터 객지로나가 고생을 할 운으로 본다. \n▷ 화개살이 월주에 있으면: 부모형제와 인연이 적고 가문을 지키기 위해 노력하는 타입이다. \n▷ 화개살이 일주에 있으면: 배우자와 인연이 적어 해로하기 어렵고 종교계에 뜻이 있어 그 쪽으로 나아갈 수 있다. \n▷ 화개살이 시주에 있으면: 만년에 영화로운 일이 생길 수 있으나 자식으로 인한 근심 또한 있을 수 있다. \n▷ 대운 세운에서 화개살을 만났을 때: 감수성이 발달해 총명하다는 소리를 들을 수 있다. 주색에 빠지거나 이성으로 인한 구설수가 있을 수 있다.\n