원진, 특징
辰亥, 집요. 잔소리. 동어반복. 같은 행동. 육친 덕 박복
寅酉, 몰상식. 자만심. 무례. 하극상. 잔병치레
未子, 자식 덕 박복. 신병(身病). 사고수. 역마수
丑午, 고독. 강기. 폭발력. 다혈질. 자식 덕 박복. 험담험구. 불평
申卯, 표독. 두통. 잔병치레. 죄의식 없음. 몰상식
巳戌, 감정기복. 엉뚱함. 사기성. 암중모색. 아집. 고독
비겁, 육친 및 동료들과 소원하고 경거망동으로 다툼수
식상, 구덕의흠(口德의欠). 비밀 없고 잘난 체. 다변. 구설수
재성, 경망스럽고 개념 없이 행동. 손재 및 파산수
관성, 불명예스런 구설로 좌천 및 사표수. 관재구설수
인성, 순간폭발. 무식. 무례. 인덕 없음. 계약 및 약속 파기수
연지, 조부와 부모가 불화. 어려서 가족사랑 받지 못함. 질병: 편두통. 견통. 뇌출혈. 오십견. 인후병. 이비인후질병
월지, 월지와 일지의 원진살은 부모형제와 원망. 고부간의 불화. 질병: 흉부통증. 심장병. 위장병. 장기질환. 호흡기질환
일지, 전립선. 생식기질병. 산액. 성기능약화. 요실금
시지, 배우자 자식과 인연없고 박복. 질병: 골다공증. 하체부실. 하지정맥. 체력쇠약. 몸이 마름
행운, 행운에서 원진을 만나면 재물손괴 및 직업중단수가 있고. 사고대운이 원진이면 목숨이 위태로움에 처함